,index,stock,investment_score,cagr,bull_run,bear_run
0,0,BJFN Historical Data,0.8916666666666667,29.14896790695809,18,1
1,1,KTKM Historical Data,0.7785865227240798,24.018229568075245,19,1
2,2,BRTI Historical Data,0.7112095241630843,16.15844006400906,20,0
3,3,SUN Historical Data,0.6998961138626355,17.267942947318883,20,0
4,4,AXBK Historical Data,0.6779939616642402,13.988375543966391,20,0
5,5,BAJE Historical Data,0.663733694120016,17.198925107424667,19,1
6,6,JSTL Historical Data,0.649005951882739,11.673490379653838,20,0
7,7,TITN Historical Data,0.6440303358020786,16.128009455387016,11,0
8,8,SBI Historical Data,0.6286816972935291,11.258409435773897,20,0
9,9,RELI Historical Data,0.5928389264887097,14.671870421114708,6,0
10,10,BJFS Historical Data,0.5870268848466932,16.800713109077027,12,1
11,11,LART Historical Data,0.5597322951069064,14.883244967072407,15,2
12,12,ADEL Historical Data,0.5543423976811943,12.287209447763804,17,3
13,13,MAHM Historical Data,0.5403539333360536,11.951440093163711,18,2
14,14,HDBK Historical Data,0.5374804536231403,12.275614992474049,12,1
15,15,ITC Historical Data,0.5367358924732284,10.549135828086232,18,2
16,16,ICBK Historical Data,0.49909430577581526,9.501679249778094,18,2
17,17,HLL Historical Data,0.45351183107232956,9.170223811460732,9,0
18,18,APSE Historical Data,0.44284412326032474,7.052479199161477,14,1
19,19,TCS Historical Data,0.4264688563994389,11.42389501200638,5,1
20,20,ONGC Historical Data,0.4094321415416922,11.797752225446079,0,1
21,21,INFY Historical Data,0.3840550003399946,4.749402799822611,17,3
22,22,TISC Historical Data,0.3777288001019866,8.8268604884024,4,2
23,23,HCLT Historical Data,0.33384243811381215,3.8461678102469143,16,4
24,24,PGRD Historical Data,0.3243183769499997,2.093197818667769,13,2
25,25,LIFI Historical Data,0.2666296531442942,3.1210424473644416,3,1
26,26,MRTI Historical Data,0.25395848844569224,0.8843440169525207,3,0
27,27,NTPC Historical Data,0.24163941893302127,4.0122365436739305,4,3
28,28,HIAE Historical Data,0.20675658064596553,1.6442215775653635,2,2
29,29,COAL Historical Data,0.08666666666666667,-0.5381740795880607,3,8
