"Date","Price","Open","High","Low","Vol.","Change %"
"06-02-2020","236.50","237.40","243.60","234.10","8.85M","0.11%"
"05-02-2020","236.25","226.75","239.30","222.55","8.99M","4.79%"
"04-02-2020","225.45","222.65","227.15","222.05","2.03M","2.06%"
"03-02-2020","220.90","221.70","224.65","215.60","2.72M","-0.85%"
"01-02-2020","222.80","228.35","233.65","221.00","3.05M","-2.90%"
"31-01-2020","229.45","231.00","234.55","227.15","2.72M","-0.89%"
"30-01-2020","231.50","232.30","232.75","228.20","2.19M","-0.34%"
"29-01-2020","232.30","231.70","238.35","231.00","3.74M","1.04%"
"28-01-2020","229.90","232.25","234.50","229.10","2.16M","-0.28%"
"27-01-2020","230.55","229.50","236.45","226.05","5.29M","0.35%"
"24-01-2020","229.75","225.50","232.40","219.00","7.15M","0.07%"
"23-01-2020","229.60","226.00","231.20","225.75","2.65M","1.64%"
"22-01-2020","225.90","224.80","228.00","221.15","2.94M","0.74%"
"21-01-2020","224.25","224.35","227.00","220.50","2.81M","-1.02%"
"20-01-2020","226.55","229.55","232.25","224.15","4.55M","-0.81%"
"17-01-2020","228.40","216.00","229.25","213.70","10.81M","3.82%"
"16-01-2020","220.00","217.70","222.50","217.00","4.28M","1.57%"
"15-01-2020","216.60","214.50","218.00","212.50","1.98M","1.05%"
"14-01-2020","214.35","213.45","215.50","211.85","1.78M","0.35%"
"13-01-2020","213.60","210.65","216.25","209.60","3.53M","2.15%"
"10-01-2020","209.10","208.00","213.00","205.90","2.77M","0.53%"
"09-01-2020","208.00","201.90","208.90","201.90","3.50M","3.23%"
"08-01-2020","201.50","201.00","203.55","194.55","5.76M","-1.25%"
"07-01-2020","204.05","200.55","205.70","200.55","2.97M","2.26%"
"06-01-2020","199.55","207.75","207.75","197.75","4.35M","-4.20%"
"03-01-2020","208.30","210.25","212.35","205.80","2.51M","-1.37%"
"02-01-2020","211.20","208.00","213.20","207.50","2.99M","1.61%"
"01-01-2020","207.85","209.00","210.45","206.65","1.55M","-0.24%"
"31-12-2019","208.35","208.70","210.75","207.65","1.60M","-0.14%"
"30-12-2019","208.65","209.90","211.60","208.00","1.94M","-0.22%"
