"Date","Price","Open","High","Low","Vol.","Change %"
"06-02-2020","29.00","29.28","29.33","28.55","31.69M","0.10%"
"05-02-2020","28.97","28.33","29.38","28.18","45.83M","2.44%"
"04-02-2020","28.28","28.18","29.03","28.15","44.43M","1.62%"
"03-02-2020","27.83","28.33","29.15","26.92","76.35M","-1.73%"
"01-02-2020","28.32","29.77","30.57","27.78","79.92M","-6.29%"
"31-01-2020","30.22","32.08","33.00","29.97","169.75M","-10.01%"
"30-01-2020","33.58","33.75","34.48","33.43","33.64M","0.18%"
"29-01-2020","33.52","33.63","33.72","33.23","28.35M","0.36%"
"28-01-2020","33.40","33.87","34.02","33.13","32.13M","-1.42%"
"27-01-2020","33.88","33.90","34.50","33.67","24.18M","-0.21%"
"24-01-2020","33.95","33.78","34.55","33.77","20.62M","0.68%"
"23-01-2020","33.72","33.70","34.85","33.38","64.98M","0.21%"
"22-01-2020","33.65","35.02","35.02","33.33","46.81M","-3.91%"
"21-01-2020","35.02","34.67","35.33","34.62","17.13M","0.06%"
"20-01-2020","35.00","36.33","36.33","34.55","28.12M","-3.31%"
"17-01-2020","36.20","35.20","36.32","34.90","33.28M","2.70%"
"16-01-2020","35.25","35.33","35.75","34.78","54.25M","1.82%"
"15-01-2020","34.62","33.40","34.88","33.17","39.24M","4.03%"
"14-01-2020","33.28","32.95","33.40","32.65","21.42M","1.87%"
"13-01-2020","32.67","32.73","33.08","32.52","28.54M","0.83%"
"10-01-2020","32.40","32.33","32.87","32.33","23.09M","0.22%"
"09-01-2020","32.33","32.33","32.42","31.93","41.68M","1.60%"
"08-01-2020","31.82","31.68","32.38","31.48","20.42M","-0.93%"
"07-01-2020","32.12","32.78","33.00","31.77","33.30M","-0.62%"
"06-01-2020","32.32","33.17","33.63","31.88","36.40M","-3.95%"
"03-01-2020","33.65","34.40","34.63","33.45","21.95M","-2.12%"
"02-01-2020","34.38","33.55","34.60","33.30","26.26M","3.00%"
"01-01-2020","33.38","33.43","33.65","33.13","15.44M","0.09%"
"31-12-2019","33.35","33.40","34.00","33.20","22.47M","0.09%"
"30-12-2019","33.32","33.38","33.60","33.20","9.58M","0.27%"
"27-12-2019","33.23","33.10","33.92","33.05","17.61M","0.85%"
"26-12-2019","32.95","33.20","33.57","32.78","22.53M","-0.75%"
"24-12-2019","33.20","32.95","33.27","32.83","11.04M","0.76%"
"23-12-2019","32.95","32.90","33.35","32.83","22.86M","0.06%"
"20-12-2019","32.93","33.38","33.47","32.83","10.12M","-1.32%"
"19-12-2019","33.37","33.42","33.60","33.17","10.16M","-0.33%"
"18-12-2019","33.48","33.45","33.58","33.22","13.40M","0.24%"
"17-12-2019","33.40","33.68","33.82","33.33","12.39M","-0.83%"
"16-12-2019","33.68","33.47","34.10","33.17","19.23M","1.05%"
"13-12-2019","33.33","33.27","33.73","32.83","28.29M","1.21%"
"12-12-2019","32.93","33.10","33.15","32.55","32.59M","0.34%"
"11-12-2019","32.82","33.57","33.57","32.18","39.85M","-1.23%"
"10-12-2019","33.23","34.28","34.30","32.58","35.57M","-2.75%"
"09-12-2019","34.17","34.27","35.00","34.02","18.16M","-0.15%"
"06-12-2019","34.22","34.17","34.67","33.83","24.79M","0.59%"
"05-12-2019","34.02","33.93","34.43","33.82","19.07M","0.80%"
"04-12-2019","33.75","33.73","33.93","33.37","18.41M","0.24%"
"03-12-2019","33.67","34.25","34.40","33.48","26.02M","-2.04%"
"02-12-2019","34.37","34.43","34.53","33.58","20.19M","0.00%"
"29-11-2019","34.37","34.85","35.13","34.22","14.66M","-1.15%"
"28-11-2019","34.77","34.35","35.08","34.08","22.44M","1.22%"
"27-11-2019","34.35","34.50","34.83","34.20","12.80M","-0.09%"
"26-11-2019","34.38","35.98","36.27","34.20","31.86M","-3.37%"
"25-11-2019","35.58","36.12","36.32","34.97","33.29M","-2.47%"
"22-11-2019","36.48","36.73","36.93","36.00","17.27M","-0.87%"
"21-11-2019","36.80","36.87","37.12","36.57","12.23M","-0.35%"
"20-11-2019","36.93","37.32","37.58","36.80","20.83M","-0.59%"
"19-11-2019","37.15","36.58","37.33","36.53","11.95M","1.42%"
"18-11-2019","36.63","37.02","37.43","36.52","17.73M","-1.21%"
"15-11-2019","37.08","36.57","37.45","36.53","16.09M","1.78%"
"14-11-2019","36.43","36.48","36.97","36.27","18.00M","0.16%"
"13-11-2019","36.37","36.27","36.53","35.73","26.96M","0.25%"
"11-11-2019","36.28","36.38","36.72","35.92","22.30M","-0.55%"
"08-11-2019","36.48","36.22","37.60","36.22","40.16M","0.50%"
"07-11-2019","36.30","36.52","36.75","35.90","26.15M","-0.47%"
"06-11-2019","36.47","37.48","37.50","36.05","50.42M","-2.82%"
"05-11-2019","37.53","38.43","38.63","37.20","62.89M","-5.77%"
"04-11-2019","39.83","40.35","40.70","39.68","32.66M","-0.75%"
"01-11-2019","40.13","39.60","40.58","39.37","25.70M","1.90%"
"31-10-2019","39.38","39.95","40.13","39.22","23.71M","-1.01%"
"30-10-2019","39.78","39.97","40.70","39.23","28.09M","0.53%"
"29-10-2019","39.57","39.10","40.13","38.90","27.98M","1.77%"
"27-10-2019","38.88","38.93","39.15","38.75","2.07M","-0.05%"
"25-10-2019","38.90","38.67","39.08","38.22","22.73M","0.65%"
"24-10-2019","38.65","38.15","38.73","37.53","21.42M","1.76%"
"23-10-2019","37.98","38.45","38.85","37.77","32.84M","-1.22%"
"22-10-2019","38.45","38.93","39.35","38.22","28.56M","-1.03%"
"18-10-2019","38.85","37.65","40.33","37.63","77.94M","2.97%"
"17-10-2019","37.73","37.32","37.83","37.22","24.55M","1.10%"
"16-10-2019","37.32","37.00","37.53","36.72","31.47M","1.33%"
"15-10-2019","36.83","36.65","37.05","36.05","25.63M","1.40%"
"14-10-2019","36.32","35.20","36.72","35.17","33.28M","3.71%"
"11-10-2019","35.02","35.23","35.47","34.67","18.65M","-0.57%"
"10-10-2019","35.22","35.03","35.48","34.63","13.72M","0.26%"
"09-10-2019","35.13","35.00","35.55","34.68","20.17M","1.01%"
"07-10-2019","34.78","35.03","35.42","34.50","18.64M","-0.57%"
"04-10-2019","34.98","35.33","35.83","34.75","26.16M","-0.43%"
"03-10-2019","35.13","35.40","35.73","34.77","20.91M","-1.65%"
"01-10-2019","35.72","36.20","37.07","35.22","30.45M","-1.05%"
"30-09-2019","36.10","36.12","36.30","35.03","23.61M","0.14%"
"27-09-2019","36.05","36.82","37.08","35.95","18.38M","-2.57%"
"26-09-2019","37.00","36.25","37.27","35.77","24.02M","1.87%"
"25-09-2019","36.32","37.17","37.18","35.97","18.55M","-2.58%"
"24-09-2019","37.28","37.50","37.75","36.83","33.51M","-0.53%"
"23-09-2019","37.48","36.75","38.55","36.13","60.39M","4.02%"
"20-09-2019","36.03","35.13","36.98","34.57","63.74M","3.62%"
"19-09-2019","34.77","35.90","35.90","34.65","20.92M","-2.41%"
"18-09-2019","35.63","36.35","36.80","35.22","34.16M","-1.08%"
"17-09-2019","36.02","36.65","37.48","35.82","55.78M","-1.13%"
"16-09-2019","36.43","37.00","37.80","36.23","53.79M","0.58%"
"13-09-2019","36.22","36.03","36.60","35.13","22.20M","0.61%"
"12-09-2019","36.00","36.17","36.73","35.68","26.80M","0.06%"
"11-09-2019","35.98","36.57","37.12","35.73","28.36M","-1.61%"
