"Date","Price","Open","High","Low","Vol.","Change %"
"02-03-2020","435.48","459.37","461.17","429.98","22.38M","-2.35%"
"28-02-2020","445.98","463.37","463.37","430.59","49.41M","-6.17%"
"27-02-2020","475.33","480.85","480.85","470.57","11.75M","-1.05%"
"26-02-2020","480.35","480.85","483.12","476.08","8.51M","-0.33%"
"25-02-2020","481.94","484.33","484.33","477.75","9.59M","0.46%"
"24-02-2020","479.74","483.34","486.94","474.47","12.63M","-1.57%"
"20-02-2020","487.38","486.13","491.67","484.72","16.35M","0.05%"
"19-02-2020","487.14","477.85","488.04","477.36","11.72M","2.52%"
"18-02-2020","475.15","476.29","476.55","469.52","7.29M","-0.39%"
"17-02-2020","477.02","477.53","479.15","474.36","7.16M","-0.11%"
"14-02-2020","477.53","479.35","480.85","476.15","7.31M","-0.28%"
"13-02-2020","478.88","475.95","479.41","472.86","6.81M","0.56%"
"12-02-2020","476.22","476.35","477.57","471.56","8.83M","0.41%"
"11-02-2020","474.29","473.06","477.85","472.96","11.67M","0.59%"
"10-02-2020","471.53","465.37","472.76","463.37","11.61M","1.45%"
"07-02-2020","464.80","465.76","468.05","461.98","9.50M","-0.26%"
"06-02-2020","466.00","452.20","467.15","451.89","18.46M","3.05%"
"05-02-2020","452.20","450.89","453.38","447.16","12.86M","0.20%"
"04-02-2020","451.31","438.20","454.38","437.12","19.58M","3.67%"
"03-02-2020","435.34","424.44","437.10","424.44","10.94M","1.95%"
"01-02-2020","427.02","434.41","444.15","419.76","21.53M","-2.06%"
"31-01-2020","436.00","436.41","441.41","432.79","17.37M","0.04%"
"30-01-2020","435.84","445.79","447.89","433.89","35.78M","-1.24%"
"29-01-2020","441.30","423.91","443.80","420.94","45.81M","4.89%"
"28-01-2020","420.73","414.45","424.32","414.45","10.53M","1.17%"
"27-01-2020","415.87","416.83","420.23","414.84","7.82M","-0.72%"
"24-01-2020","418.88","411.44","419.99","410.54","8.65M","1.66%"
"23-01-2020","412.02","411.74","415.82","407.94","11.55M","-0.40%"
"22-01-2020","413.66","418.03","418.08","411.77","7.98M","0.09%"
"21-01-2020","413.30","414.43","418.04","411.15","8.98M","-0.34%"
"20-01-2020","414.70","422.33","424.72","411.95","8.49M","-1.87%"
"17-01-2020","422.60","421.13","423.62","419.63","6.71M","0.27%"
"16-01-2020","421.45","418.43","422.42","418.23","5.79M","0.31%"
"15-01-2020","420.15","418.43","421.43","416.44","6.17M","0.34%"
"14-01-2020","418.73","416.43","419.67","414.48","7.03M","0.69%"
"13-01-2020","415.88","416.23","417.66","414.04","6.45M","0.47%"
"10-01-2020","413.92","412.45","418.02","411.24","11.07M","0.50%"
"09-01-2020","411.86","410.03","414.24","407.45","14.19M","1.83%"
"08-01-2020","404.44","394.46","405.48","394.46","16.31M","1.05%"
"07-01-2020","400.22","404.95","408.64","399.08","21.49M","0.27%"
"06-01-2020","399.13","415.83","419.83","397.84","28.67M","-4.69%"
"03-01-2020","418.78","421.43","422.90","416.73","11.77M","-1.24%"
"02-01-2020","424.03","423.42","428.99","422.92","8.64M","0.35%"
"01-01-2020","422.55","423.20","424.62","421.53","4.07M","-0.08%"
"31-12-2019","422.90","424.12","426.06","421.29","7.80M","-0.20%"
"30-12-2019","423.75","426.90","427.57","422.43","8.32M","-0.22%"
"27-12-2019","424.69","419.23","425.42","418.63","11.27M","1.57%"
"26-12-2019","418.14","414.43","419.07","412.76","12.65M","1.15%"
"24-12-2019","413.39","415.23","417.50","412.00","7.52M","-0.49%"
"23-12-2019","415.43","413.30","417.83","412.44","11.38M","0.59%"
"20-12-2019","413.00","410.14","413.94","407.55","10.54M","1.07%"
"19-12-2019","408.63","410.75","413.94","407.97","7.36M","-0.67%"
"18-12-2019","411.38","413.48","415.32","409.55","11.10M","-0.39%"
"17-12-2019","413.01","405.14","414.94","404.15","13.79M","2.38%"
"16-12-2019","403.40","408.24","408.24","402.61","8.26M","-0.80%"
"13-12-2019","406.64","406.45","408.37","403.56","8.62M","0.37%"
"12-12-2019","405.16","404.45","405.95","400.46","10.87M","0.50%"
"11-12-2019","403.13","399.61","404.95","397.86","13.66M","1.25%"
"10-12-2019","398.14","394.46","398.96","394.01","11.59M","1.06%"
"09-12-2019","393.95","396.42","396.61","387.50","12.69M","-0.17%"
"06-12-2019","394.63","400.46","402.23","392.21","11.71M","-0.98%"
"05-12-2019","398.54","398.54","402.85","396.26","12.55M","0.00%"
"04-12-2019","398.54","395.26","399.87","392.97","14.31M","0.66%"
"03-12-2019","395.92","393.46","398.96","388.12","19.84M","0.36%"
"02-12-2019","394.51","406.95","407.18","391.48","20.65M","-3.04%"
"29-11-2019","406.87","408.94","412.94","405.68","8.32M","-0.68%"
"28-11-2019","409.65","411.44","413.34","405.95","9.70M","-0.40%"
"27-11-2019","411.28","411.54","411.93","408.94","4.85M","0.49%"
"26-11-2019","409.28","413.94","416.83","408.14","15.03M","-1.05%"
"25-11-2019","413.61","409.44","414.35","405.68","13.89M","1.55%"
"22-11-2019","407.28","412.44","413.82","403.55","12.23M","-1.10%"
"21-11-2019","411.80","413.44","415.43","410.64","7.03M","-0.36%"
"20-11-2019","413.29","413.44","417.63","412.18","8.14M","0.07%"
"19-11-2019","413.01","415.93","417.65","412.06","8.30M","-0.46%"
"18-11-2019","414.93","419.33","420.38","413.95","9.27M","-0.78%"
"15-11-2019","418.19","421.45","424.15","416.99","11.93M","-0.54%"
"14-11-2019","420.48","415.23","421.53","411.48","13.84M","1.59%"
"13-11-2019","413.89","416.12","416.93","412.64","8.99M","-0.59%"
"11-11-2019","416.34","415.43","418.23","413.73","7.69M","0.23%"
"08-11-2019","415.38","421.43","423.42","414.24","15.10M","-1.57%"
"07-11-2019","422.01","419.90","423.34","418.25","11.42M","0.90%"
"06-11-2019","418.25","425.42","427.42","417.10","20.77M","-0.94%"
"05-11-2019","422.21","416.63","424.92","412.94","29.35M","2.79%"
"04-11-2019","410.74","408.14","417.18","407.06","18.63M","1.06%"
"01-11-2019","406.43","402.35","410.44","401.55","18.76M","1.05%"
"31-10-2019","402.21","399.88","404.45","398.96","12.51M","0.89%"
"30-10-2019","398.66","406.94","406.94","397.96","13.39M","-1.36%"
"29-10-2019","404.17","398.46","405.45","395.71","13.36M","1.72%"
"27-10-2019","397.35","400.95","400.95","394.96","2.15M","-0.21%"
"25-10-2019","398.18","403.23","405.83","389.47","17.58M","-0.97%"
"24-10-2019","402.07","405.65","407.45","400.71","12.68M","-0.30%"
"23-10-2019","403.29","408.44","410.44","396.26","24.42M","0.10%"
"22-10-2019","402.87","415.93","421.41","399.47","50.35M","-2.50%"
"18-10-2019","413.20","409.44","419.33","407.45","18.36M","0.75%"
"17-10-2019","410.12","401.46","411.16","399.56","21.04M","2.25%"
"16-10-2019","401.09","390.47","402.65","389.47","23.82M","3.53%"
"15-10-2019","387.42","388.97","391.07","383.78","13.95M","-0.10%"
"14-10-2019","387.80","398.26","400.09","384.78","17.68M","-2.26%"
"11-10-2019","396.78","397.36","400.95","391.97","16.24M","0.62%"
"10-10-2019","394.35","400.82","400.95","392.57","11.03M","-1.86%"
"09-10-2019","401.84","390.97","402.95","387.48","13.57M","3.15%"
"07-10-2019","389.56","387.47","395.29","381.43","14.06M","-0.08%"
"04-10-2019","389.86","397.36","399.86","388.70","14.78M","-1.41%"
"03-10-2019","395.44","397.96","399.95","392.65","12.46M","-0.82%"
"01-10-2019","398.70","407.45","408.35","394.09","16.16M","-1.33%"
"30-09-2019","404.06","406.04","410.62","402.55","22.56M","-0.28%"
"27-09-2019","405.19","400.06","407.94","398.46","20.24M","1.41%"
"26-09-2019","399.54","394.96","400.95","393.97","23.88M","1.78%"
