"Date","Price","Open","High","Low","Vol.","Change %"
"22-05-2025","1,005.60","1,002.00","1,011.50","987.90","1.28M","0.47%"
"21-05-2025","1,000.90","1,016.00","1,018.90","999.10","875.25K","-1.17%"
"20-05-2025","1,012.70","1,031.00","1,034.50","1,010.80","1.62M","-0.68%"
"19-05-2025","1,019.60","1,033.90","1,034.00","1,016.70","1.43M","-0.22%"
"16-05-2025","1,021.80","1,043.40","1,044.60","1,020.30","1.05M","-1.59%"
"15-05-2025","1,038.30","993.00","1,040.60","990.00","5.30M","4.95%"
"14-05-2025","989.30","995.20","1,012.10","987.00","1.65M","-0.06%"
"13-05-2025","989.90","1,005.20","1,010.90","988.10","934.18K","-1.52%"
"12-05-2025","1,005.20","973.00","1,007.70","969.70","1.34M","5.04%"
"09-05-2025","957.00","935.00","959.00","935.00","1.48M","0.40%"
"08-05-2025","953.20","962.50","969.50","949.00","1.65M","-1.34%"
"07-05-2025","966.10","957.90","975.00","957.90","1.01M","-0.14%"
"06-05-2025","967.50","960.00","971.90","955.00","1.46M","1.26%"
"05-05-2025","955.50","959.80","972.40","952.70","1.65M","-1.82%"
"02-05-2025","973.20","1,021.20","1,037.00","948.30","7.92M","-5.50%"
"30-04-2025","1,029.80","1,030.00","1,042.30","1,021.00","1.76M","-0.56%"
"29-04-2025","1,035.60","1,055.00","1,061.60","1,034.10","1.21M","-1.78%"
"28-04-2025","1,054.40","1,021.40","1,058.90","1,019.20","1.49M","2.53%"
"25-04-2025","1,028.40","1,050.00","1,056.90","1,017.60","2.78M","-1.54%"
"24-04-2025","1,044.50","1,035.50","1,047.50","1,029.50","1.24M","0.51%"
"23-04-2025","1,039.20","1,051.00","1,053.90","1,028.50","893.97K","-0.48%"
"22-04-2025","1,044.20","1,060.00","1,060.40","1,037.00","2.15M","0.99%"
"21-04-2025","1,034.00","1,001.00","1,043.80","1,000.50","1.35M","2.66%"
"17-04-2025","1,007.20","996.00","1,008.60","987.10","2.07M","-0.22%"
"16-04-2025","1,009.40","1,003.00","1,015.10","992.10","1.28M","0.14%"
"15-04-2025","1,008.00","1,010.00","1,015.70","1,002.20","1.29M","1.79%"
"11-04-2025","990.25","972.45","997.00","968.35","3.64M","4.73%"
"09-04-2025","945.55","945.15","953.40","938.05","1.77M","-0.95%"
"08-04-2025","954.60","949.35","970.45","933.80","1.72M","2.61%"
"07-04-2025","930.30","906.00","959.00","905.20","4.58M","-7.50%"
"04-04-2025","1,005.75","1,032.30","1,038.95","997.85","3.82M","-3.67%"
"03-04-2025","1,044.05","1,045.00","1,055.80","1,041.55","1.61M","-1.12%"
"02-04-2025","1,055.90","1,058.10","1,066.35","1,046.25","878.96K","-0.03%"
"01-04-2025","1,056.25","1,063.00","1,070.45","1,053.35","1.78M","-0.65%"
"28-03-2025","1,063.20","1,059.75","1,068.20","1,053.95","1.67M","0.33%"
"27-03-2025","1,059.75","1,051.95","1,069.00","1,050.00","2.51M","0.31%"
"26-03-2025","1,056.45","1,068.05","1,068.05","1,052.20","1.25M","-0.49%"
"25-03-2025","1,061.70","1,061.35","1,074.90","1,052.00","1.57M","0.03%"
"24-03-2025","1,061.35","1,063.00","1,072.00","1,056.50","2.27M","0.25%"
"21-03-2025","1,058.70","1,052.00","1,062.55","1,047.70","2.63M","0.80%"
"20-03-2025","1,050.25","1,038.00","1,052.80","1,027.20","2.30M","1.64%"
"19-03-2025","1,033.35","1,036.00","1,047.00","1,024.00","2.65M","1.50%"
"18-03-2025","1,018.05","1,014.90","1,020.65","1,002.55","1.07M","1.23%"
"17-03-2025","1,005.70","1,007.55","1,015.45","1,000.15","1.52M","0.45%"
"13-03-2025","1,001.20","1,014.90","1,016.45","998.80","1.22M","-0.91%"
"12-03-2025","1,010.40","1,024.70","1,024.95","994.10","1.26M","-0.81%"
"11-03-2025","1,018.65","1,003.85","1,021.00","1,001.45","1.60M","0.51%"
"10-03-2025","1,013.50","1,011.15","1,032.75","1,010.25","1.86M","0.23%"
"07-03-2025","1,011.15","1,011.00","1,020.40","1,005.55","759.94K","0.00%"
"06-03-2025","1,011.10","1,013.00","1,016.20","997.10","2.20M","0.84%"
"05-03-2025","1,002.70","975.00","1,008.00","970.90","2.47M","2.94%"
"04-03-2025","974.10","960.00","978.10","959.95","1.08M","-0.20%"
"03-03-2025","976.05","959.00","981.55","953.00","1.74M","2.67%"
"28-02-2025","950.70","968.10","968.60","940.55","2.55M","-2.49%"
"27-02-2025","975.00","958.75","981.00","958.70","2.05M","1.69%"
"25-02-2025","958.75","967.00","973.45","957.50","1.10M","-0.83%"
"24-02-2025","966.80","971.00","984.90","957.75","1.90M","-1.54%"
"21-02-2025","981.90","979.10","990.95","975.55","1.60M","0.08%"
"20-02-2025","981.15","977.00","987.65","975.00","1.47M","0.39%"
"19-02-2025","977.35","975.60","989.90","971.10","1.58M","-0.15%"
"18-02-2025","978.80","975.00","981.20","962.80","1.80M","0.54%"
"17-02-2025","973.55","964.60","975.00","954.10","1.32M","0.93%"
"14-02-2025","964.60","972.90","983.70","954.25","2.69M","-0.54%"
"13-02-2025","969.80","954.00","984.00","953.25","1.41M","1.40%"
"12-02-2025","956.40","952.90","962.95","938.10","2.77M","0.20%"
"11-02-2025","954.50","950.05","967.50","948.55","2.54M","-0.48%"
