"Date","Price","Open","High","Low","Vol.","Change %"
"06-02-2020","334.80","338.78","339.58","333.60","12.66M","-0.93%"
"05-02-2020","337.95","340.40","341.49","335.42","10.48M","-0.50%"
"04-02-2020","339.66","336.81","340.56","334.03","10.35M","1.32%"
"03-02-2020","335.25","329.12","336.16","326.80","12.55M","1.72%"
"01-02-2020","329.59","336.80","337.89","326.01","11.32M","-2.59%"
"31-01-2020","338.35","341.93","345.80","336.63","47.48M","3.90%"
"30-01-2020","325.65","327.56","328.06","323.50","7.95M","-0.74%"
"29-01-2020","328.09","326.60","329.24","324.61","11.14M","0.89%"
"28-01-2020","325.21","324.00","327.60","322.05","9.91M","0.48%"
"27-01-2020","323.67","325.74","325.80","321.68","9.37M","-1.50%"
"24-01-2020","328.59","321.09","329.80","317.40","21.26M","2.31%"
"23-01-2020","321.17","317.60","321.68","316.26","17.48M","1.28%"
"22-01-2020","317.10","326.64","327.58","315.20","27.40M","-2.44%"
"21-01-2020","325.02","321.00","326.12","317.04","28.73M","0.45%"
"20-01-2020","323.58","341.80","341.80","322.20","40.02M","-4.72%"
"17-01-2020","339.62","340.78","341.17","338.02","11.48M","-0.20%"
"16-01-2020","340.31","335.78","341.12","335.78","16.61M","1.55%"
"15-01-2020","335.12","335.19","337.32","333.18","12.45M","-0.07%"
"14-01-2020","335.36","339.20","339.22","334.20","10.68M","-0.85%"
"13-01-2020","338.22","338.40","340.90","337.11","9.04M","0.38%"
"10-01-2020","336.94","334.82","338.40","334.24","12.68M","1.18%"
"09-01-2020","333.01","334.70","334.75","331.74","13.34M","0.62%"
"08-01-2020","330.97","330.94","332.29","327.60","15.63M","-0.96%"
"07-01-2020","334.17","332.21","334.95","330.08","12.49M","1.11%"
"06-01-2020","330.51","331.42","331.49","327.72","7.40M","-0.27%"
"03-01-2020","331.42","334.19","334.60","329.11","7.97M","-0.86%"
"02-01-2020","334.31","336.00","336.70","332.93","9.26M","-0.15%"
"01-01-2020","334.81","337.80","339.35","334.40","7.38M","-0.61%"
"31-12-2019","336.87","338.08","338.25","334.07","9.85M","-0.36%"
"30-12-2019","338.08","338.00","341.36","337.10","9.34M","0.28%"
"27-12-2019","337.12","341.00","341.00","336.27","7.65M","-0.51%"
"26-12-2019","338.85","342.21","343.00","337.94","8.23M","-1.01%"
"24-12-2019","342.31","340.99","343.30","340.00","8.51M","0.39%"
"23-12-2019","340.98","339.80","342.24","339.02","8.73M","0.72%"
"20-12-2019","338.54","344.63","344.88","337.46","15.29M","-2.13%"
"19-12-2019","345.90","344.99","346.96","343.06","13.51M","0.30%"
"18-12-2019","344.87","343.80","345.19","341.26","22.96M","0.64%"
"17-12-2019","342.66","343.21","344.28","341.72","13.23M","0.55%"
"16-12-2019","340.79","338.80","346.00","338.80","18.31M","0.66%"
"13-12-2019","338.55","343.24","343.80","337.45","17.64M","-1.33%"
"12-12-2019","343.12","338.04","344.00","336.40","13.48M","1.72%"
"11-12-2019","337.31","333.20","338.17","331.82","10.15M","1.45%"
"10-12-2019","332.48","333.00","333.19","330.21","7.07M","0.19%"
"09-12-2019","331.85","335.59","335.80","331.30","9.47M","-0.90%"
"06-12-2019","334.86","330.00","336.00","328.66","19.00M","1.52%"
"05-12-2019","329.86","330.25","332.00","328.08","14.68M","-0.12%"
"04-12-2019","330.25","328.66","331.98","326.64","13.52M","0.27%"
"03-12-2019","329.35","326.90","330.00","326.29","11.61M","0.84%"
"02-12-2019","326.60","322.90","327.30","320.04","11.45M","1.10%"
"29-11-2019","323.04","322.00","324.40","318.46","8.65M","0.01%"
"28-11-2019","323.00","323.40","325.22","321.42","11.19M","-0.18%"
"27-11-2019","323.58","320.99","324.80","320.34","10.20M","0.84%"
"26-11-2019","320.88","320.20","322.10","318.26","7.78M","0.05%"
"25-11-2019","320.73","314.80","321.20","314.01","10.09M","2.20%"
"22-11-2019","313.82","318.39","318.78","313.02","9.31M","-1.64%"
"21-11-2019","319.05","320.69","320.98","317.50","8.37M","-0.26%"
"20-11-2019","319.89","324.60","324.76","319.24","7.81M","-1.50%"
"19-11-2019","324.76","325.98","326.22","322.83","7.98M","-0.21%"
"18-11-2019","325.44","325.33","327.00","323.31","10.07M","0.27%"
"15-11-2019","324.55","321.20","325.80","320.50","10.34M","1.57%"
"14-11-2019","319.52","321.20","322.08","316.81","13.20M","-0.51%"
"13-11-2019","321.16","323.40","325.60","320.22","13.02M","-0.69%"
"11-11-2019","323.38","318.98","323.88","318.40","14.62M","1.04%"
"08-11-2019","320.05","315.78","321.20","314.40","19.57M","1.03%"
"07-11-2019","316.80","315.40","317.40","311.79","12.56M","0.82%"
"06-11-2019","314.21","311.29","317.59","308.20","11.24M","1.10%"
"05-11-2019","310.78","313.72","313.95","310.06","11.32M","-1.09%"
"04-11-2019","314.21","316.80","319.36","313.00","7.17M","-0.56%"
"01-11-2019","315.98","314.40","317.19","312.60","11.10M","0.34%"
"31-10-2019","314.90","316.79","321.00","313.20","12.41M","-0.28%"
"30-10-2019","315.78","315.98","317.71","314.76","8.39M","0.21%"
"29-10-2019","315.11","319.48","319.48","313.60","15.01M","-1.10%"
"27-10-2019","318.60","318.80","320.20","318.03","988.17K","0.28%"
"25-10-2019","317.72","322.77","322.77","313.83","14.34M","-1.52%"
"24-10-2019","322.64","323.98","325.98","319.51","8.00M","-0.03%"
"23-10-2019","322.73","326.00","327.74","320.66","15.43M","-0.93%"
"22-10-2019","325.77","325.37","328.60","318.40","24.48M","0.84%"
"18-10-2019","323.05","320.76","323.92","318.20","11.79M","0.67%"
"17-10-2019","320.91","322.00","322.72","317.30","10.38M","-0.06%"
"16-10-2019","321.11","323.00","324.66","318.52","13.43M","-0.62%"
"15-10-2019","323.12","319.08","325.90","315.50","13.53M","1.90%"
"14-10-2019","317.10","319.60","321.80","315.25","10.05M","-0.14%"
"11-10-2019","317.55","319.04","325.00","315.04","12.13M","0.19%"
"10-10-2019","316.96","319.98","321.47","313.40","7.85M","-1.71%"
"09-10-2019","322.47","311.86","325.55","309.55","12.99M","3.64%"
"07-10-2019","311.13","312.60","318.72","309.86","15.23M","-0.48%"
