"Date","Price","Open","High","Low","Vol.","Change %"
"11-03-2020","1,116.95","1,090.00","1,120.95","1,085.80","5.63M","1.36%"
"09-03-2020","1,101.95","1,135.80","1,135.80","1,067.30","8.04M","-4.91%"
"06-03-2020","1,158.90","1,148.00","1,164.00","1,130.85","3.96M","-1.99%"
"05-03-2020","1,182.45","1,180.10","1,187.25","1,166.20","2.63M","0.49%"
"04-03-2020","1,176.65","1,185.00","1,187.85","1,158.00","3.14M","-0.39%"
"03-03-2020","1,181.30","1,166.00","1,186.80","1,162.05","3.13M","1.76%"
"02-03-2020","1,160.90","1,205.00","1,212.35","1,150.55","3.18M","-2.24%"
"28-02-2020","1,187.55","1,189.65","1,196.45","1,162.00","6.29M","-1.88%"
"27-02-2020","1,210.35","1,212.35","1,216.95","1,200.00","4.00M","-0.07%"
"26-02-2020","1,211.15","1,235.00","1,238.00","1,206.00","5.72M","-2.49%"
"25-02-2020","1,242.05","1,262.20","1,265.65","1,240.15","3.13M","-1.40%"
"24-02-2020","1,259.70","1,271.90","1,271.90","1,252.65","3.41M","-1.63%"
"20-02-2020","1,280.60","1,279.90","1,288.90","1,275.30","3.03M","-0.06%"
"19-02-2020","1,281.40","1,298.00","1,299.00","1,276.60","1.82M","-0.38%"
"18-02-2020","1,286.35","1,281.50","1,289.80","1,266.45","2.35M","0.48%"
"17-02-2020","1,280.20","1,297.00","1,297.85","1,277.00","2.16M","-1.15%"
"14-02-2020","1,295.15","1,295.00","1,304.95","1,290.60","1.78M","0.22%"
"13-02-2020","1,292.25","1,299.00","1,299.85","1,285.00","1.55M","-0.39%"
"12-02-2020","1,297.30","1,289.10","1,299.85","1,280.00","2.57M","0.81%"
"11-02-2020","1,286.90","1,292.00","1,298.95","1,284.00","2.20M","0.12%"
"10-02-2020","1,285.30","1,300.00","1,302.45","1,273.10","3.04M","-1.05%"
"07-02-2020","1,299.00","1,313.05","1,314.40","1,296.00","3.05M","-1.41%"
"06-02-2020","1,317.60","1,322.90","1,325.00","1,309.05","2.35M","0.58%"
"05-02-2020","1,310.05","1,297.90","1,325.00","1,295.00","4.22M","1.42%"
"04-02-2020","1,291.75","1,296.00","1,307.30","1,287.55","3.60M","0.40%"
"03-02-2020","1,286.65","1,290.00","1,303.90","1,272.00","5.77M","-0.06%"
"01-02-2020","1,287.40","1,372.60","1,383.70","1,280.00","8.30M","-5.98%"
"31-01-2020","1,369.30","1,375.95","1,377.00","1,360.45","3.94M","-0.07%"
"30-01-2020","1,370.20","1,365.95","1,376.80","1,353.00","2.74M","0.33%"
"29-01-2020","1,365.70","1,353.10","1,374.95","1,352.10","3.68M","1.41%"
"28-01-2020","1,346.65","1,350.90","1,355.00","1,338.00","2.35M","-0.14%"
"27-01-2020","1,348.60","1,340.00","1,364.90","1,340.00","2.51M","-0.78%"
"24-01-2020","1,359.20","1,332.00","1,367.85","1,332.00","5.84M","2.02%"
"23-01-2020","1,332.30","1,307.00","1,339.85","1,306.00","10.06M","2.94%"
"22-01-2020","1,294.20","1,311.00","1,312.00","1,292.00","2.45M","-0.63%"
"21-01-2020","1,302.35","1,304.75","1,313.90","1,300.45","1.36M","-0.55%"
"20-01-2020","1,309.60","1,313.95","1,319.90","1,306.50","2.54M","0.41%"
"17-01-2020","1,304.20","1,320.60","1,325.95","1,302.00","2.94M","-1.14%"
"16-01-2020","1,319.30","1,327.70","1,332.90","1,317.40","1.77M","-0.32%"
"15-01-2020","1,323.60","1,325.60","1,336.15","1,320.00","2.13M","-0.19%"
"14-01-2020","1,326.10","1,329.80","1,331.00","1,315.10","2.05M","-0.64%"
"13-01-2020","1,334.70","1,329.00","1,339.40","1,328.70","1.83M","0.76%"
"10-01-2020","1,324.60","1,319.00","1,335.95","1,319.00","2.36M","0.64%"
"09-01-2020","1,316.15","1,311.00","1,319.90","1,305.10","2.07M","1.90%"
"08-01-2020","1,291.55","1,302.00","1,308.70","1,283.35","4.15M","-2.19%"
"07-01-2020","1,320.50","1,328.00","1,339.50","1,313.75","2.08M","0.28%"
"06-01-2020","1,316.75","1,331.00","1,332.00","1,314.10","2.65M","-1.37%"
"03-01-2020","1,335.05","1,344.95","1,344.95","1,330.15","2.06M","-0.76%"
"02-01-2020","1,345.30","1,312.00","1,348.00","1,311.00","4.34M","2.70%"
"01-01-2020","1,309.95","1,308.40","1,318.90","1,303.00","3.12M","0.91%"
"31-12-2019","1,298.20","1,300.00","1,310.00","1,291.15","3.04M","-0.31%"
"30-12-2019","1,302.30","1,301.90","1,307.20","1,296.50","2.07M","0.21%"
"27-12-2019","1,299.60","1,281.55","1,301.85","1,280.15","2.46M","1.59%"
"26-12-2019","1,279.30","1,299.65","1,306.70","1,277.00","3.72M","-1.67%"
"24-12-2019","1,301.00","1,314.65","1,319.00","1,298.00","1.80M","-0.78%"
"23-12-2019","1,311.25","1,307.90","1,322.00","1,305.00","3.39M","-0.02%"
"20-12-2019","1,311.55","1,313.00","1,327.90","1,307.30","3.30M","-0.02%"
"19-12-2019","1,311.75","1,316.75","1,321.00","1,307.10","1.94M","-0.58%"
"18-12-2019","1,319.35","1,324.75","1,325.95","1,314.60","2.96M","0.11%"
"17-12-2019","1,317.95","1,309.20","1,325.00","1,303.80","3.72M","1.15%"
"16-12-2019","1,303.00","1,314.45","1,318.00","1,300.00","3.97M","-0.18%"
"13-12-2019","1,305.30","1,287.95","1,308.00","1,285.30","3.66M","2.00%"
"12-12-2019","1,279.70","1,270.00","1,282.85","1,268.20","3.26M","1.22%"
"11-12-2019","1,264.30","1,282.95","1,288.75","1,255.00","3.95M","-1.15%"
"10-12-2019","1,279.00","1,277.00","1,284.00","1,267.15","2.76M","0.24%"
"09-12-2019","1,276.00","1,294.00","1,298.90","1,271.80","3.04M","-1.15%"
"06-12-2019","1,290.80","1,308.85","1,309.00","1,283.10","3.30M","-0.88%"
"05-12-2019","1,302.20","1,294.00","1,313.00","1,285.15","6.64M","1.33%"
"04-12-2019","1,285.10","1,310.00","1,312.00","1,282.15","10.23M","-2.14%"
"03-12-2019","1,313.20","1,333.45","1,333.45","1,310.00","3.07M","-1.51%"
"02-12-2019","1,333.35","1,330.55","1,342.90","1,320.35","3.04M","0.21%"
"29-11-2019","1,330.55","1,350.00","1,350.20","1,328.00","2.52M","-1.43%"
"28-11-2019","1,349.90","1,344.00","1,354.00","1,327.20","4.50M","1.08%"
"27-11-2019","1,335.50","1,365.00","1,370.00","1,314.15","7.90M","-2.02%"
"26-11-2019","1,363.00","1,379.35","1,380.00","1,359.55","4.85M","-1.29%"
"25-11-2019","1,380.85","1,378.50","1,389.00","1,371.10","2.96M","0.16%"
"22-11-2019","1,378.65","1,393.75","1,398.95","1,371.00","2.36M","-1.01%"
"21-11-2019","1,392.70","1,405.00","1,417.90","1,385.00","5.72M","0.86%"
"20-11-2019","1,380.80","1,372.00","1,393.35","1,365.35","3.91M","1.10%"
"19-11-2019","1,365.75","1,364.50","1,378.20","1,361.50","2.40M","0.09%"
"18-11-2019","1,364.50","1,388.00","1,393.80","1,361.25","2.73M","-0.95%"
"15-11-2019","1,377.65","1,383.60","1,392.70","1,366.20","3.41M","-0.20%"
"14-11-2019","1,380.45","1,397.00","1,405.95","1,376.95","3.00M","-0.90%"
"13-11-2019","1,393.00","1,418.45","1,419.85","1,389.05","2.93M","-1.69%"
"11-11-2019","1,417.00","1,419.20","1,430.75","1,408.05","2.10M","-0.42%"
"08-11-2019","1,423.00","1,429.95","1,448.00","1,420.00","2.22M","-0.84%"
"07-11-2019","1,435.05","1,459.95","1,459.95","1,431.00","2.00M","-1.24%"
"06-11-2019","1,453.05","1,440.00","1,466.95","1,437.75","2.43M","0.92%"
"05-11-2019","1,439.80","1,455.00","1,459.60","1,432.00","2.40M","-0.85%"
"04-11-2019","1,452.20","1,457.80","1,468.00","1,450.00","1.46M","0.19%"
"01-11-2019","1,449.40","1,476.70","1,481.05","1,445.00","2.29M","-1.61%"
"31-10-2019","1,473.05","1,481.00","1,486.50","1,467.25","2.21M","-0.08%"
"30-10-2019","1,474.25","1,469.95","1,491.95","1,465.00","3.72M","0.90%"
"29-10-2019","1,461.10","1,435.50","1,464.80","1,431.00","3.35M","1.86%"
"27-10-2019","1,434.40","1,434.40","1,434.40","1,434.40","","0.66%"
"25-10-2019","1,425.00","1,439.95","1,441.70","1,420.10","2.01M","-0.51%"
"24-10-2019","1,432.25","1,460.00","1,467.00","1,426.35","3.65M","0.03%"
"23-10-2019","1,431.80","1,445.00","1,448.90","1,418.60","2.41M","-0.75%"
"22-10-2019","1,442.55","1,448.50","1,467.80","1,439.15","2.86M","-0.36%"
"18-10-2019","1,447.80","1,428.00","1,457.00","1,425.40","3.52M","1.65%"
"17-10-2019","1,424.35","1,428.00","1,438.60","1,420.20","2.30M","0.01%"
"16-10-2019","1,424.20","1,440.00","1,441.80","1,416.25","2.45M","-0.56%"
"15-10-2019","1,432.25","1,429.10","1,444.80","1,420.65","1.80M","0.58%"
"14-10-2019","1,423.95","1,435.00","1,439.90","1,418.35","2.22M","-0.26%"
"11-10-2019","1,427.70","1,431.00","1,450.00","1,420.20","2.02M","0.18%"
"10-10-2019","1,425.10","1,423.00","1,432.00","1,407.05","1.63M","-0.08%"
"09-10-2019","1,426.25","1,401.00","1,433.40","1,399.10","1.82M","2.03%"
"07-10-2019","1,397.85","1,420.00","1,429.00","1,381.05","2.19M","-1.90%"
"04-10-2019","1,424.90","1,463.80","1,474.00","1,420.10","3.27M","-2.27%"
"03-10-2019","1,458.05","1,445.45","1,475.50","1,422.25","1.97M","-0.41%"
"01-10-2019","1,464.05","1,480.00","1,496.45","1,439.15","2.58M","-0.69%"
"30-09-2019","1,474.25","1,473.00","1,484.00","1,448.20","2.96M","0.11%"
"27-09-2019","1,472.65","1,484.05","1,491.70","1,462.00","2.17M","-1.15%"
"26-09-2019","1,489.85","1,456.30","1,495.00","1,456.30","3.56M","2.74%"
"25-09-2019","1,450.10","1,480.90","1,481.70","1,446.65","2.75M","-2.11%"
"24-09-2019","1,481.30","1,524.00","1,524.00","1,475.55","3.83M","-3.09%"
"23-09-2019","1,528.50","1,452.00","1,551.00","1,451.00","12.08M","8.29%"
"20-09-2019","1,411.50","1,305.00","1,416.45","1,289.10","9.98M","8.52%"
"19-09-2019","1,300.70","1,320.00","1,320.20","1,298.00","1.81M","-1.31%"
"18-09-2019","1,318.00","1,320.10","1,328.40","1,313.30","2.08M","0.33%"
"17-09-2019","1,313.70","1,344.00","1,345.00","1,310.20","2.21M","-2.23%"
"16-09-2019","1,343.60","1,354.00","1,356.95","1,338.60","1.84M","-1.46%"
"13-09-2019","1,363.45","1,362.00","1,366.95","1,344.10","1.77M","0.08%"
"12-09-2019","1,362.40","1,370.10","1,379.75","1,355.35","2.25M","-0.09%"
"11-09-2019","1,363.65","1,364.00","1,383.80","1,356.00","2.55M","0.49%"
"09-09-2019","1,357.00","1,330.00","1,361.80","1,323.05","3.51M","2.13%"
"06-09-2019","1,328.65","1,328.45","1,334.00","1,320.35","1.69M","0.63%"
"05-09-2019","1,320.30","1,312.85","1,338.00","1,308.65","2.76M","0.94%"
"04-09-2019","1,308.05","1,296.00","1,314.30","1,292.40","2.79M","1.05%"
"03-09-2019","1,294.40","1,327.00","1,327.00","1,290.00","3.62M","-2.55%"
"30-08-2019","1,328.25","1,344.95","1,356.90","1,302.90","3.72M","-1.06%"
"29-08-2019","1,342.45","1,339.90","1,355.00","1,332.25","2.42M","-0.16%"
"28-08-2019","1,344.65","1,362.10","1,370.00","1,336.10","2.27M","-0.91%"
"27-08-2019","1,356.95","1,344.85","1,379.95","1,343.65","5.43M","1.75%"
"26-08-2019","1,333.65","1,310.00","1,343.20","1,276.55","3.76M","3.66%"
"23-08-2019","1,286.50","1,290.00","1,297.45","1,274.00","5.25M","-0.60%"
"22-08-2019","1,294.25","1,302.00","1,327.45","1,283.15","3.78M","-1.25%"
"21-08-2019","1,310.65","1,341.20","1,341.90","1,302.55","2.36M","-2.37%"
"20-08-2019","1,342.50","1,352.95","1,355.55","1,334.00","2.15M","-0.72%"
"19-08-2019","1,352.20","1,339.00","1,360.95","1,339.00","2.51M","1.27%"
"16-08-2019","1,335.25","1,335.00","1,339.90","1,320.50","2.65M","0.12%"
"14-08-2019","1,333.70","1,320.00","1,340.95","1,316.00","2.80M","1.56%"
"13-08-2019","1,313.25","1,370.00","1,370.00","1,307.00","3.14M","-3.76%"
"09-08-2019","1,364.60","1,372.00","1,392.50","1,361.10","2.42M","0.29%"
"08-08-2019","1,360.65","1,370.00","1,372.00","1,340.10","2.79M","0.04%"
"07-08-2019","1,360.05","1,380.00","1,389.90","1,352.85","2.25M","-1.27%"
"06-08-2019","1,377.50","1,342.70","1,399.40","1,340.05","4.15M","2.36%"
"05-08-2019","1,345.80","1,355.00","1,358.80","1,325.00","2.29M","-1.78%"
"02-08-2019","1,370.25","1,352.60","1,376.90","1,340.00","2.78M","0.90%"
"01-08-2019","1,358.05","1,380.00","1,386.00","1,339.00","2.77M","-2.11%"
"31-07-2019","1,387.30","1,371.65","1,397.95","1,367.10","2.69M","0.80%"
"30-07-2019","1,376.35","1,376.00","1,393.15","1,372.30","2.71M","0.35%"
"29-07-2019","1,371.50","1,393.45","1,398.00","1,360.50","1.99M","-1.48%"
"26-07-2019","1,392.15","1,370.90","1,397.25","1,363.10","3.02M","1.44%"
"25-07-2019","1,372.40","1,395.10","1,402.90","1,369.00","4.18M","-1.08%"
"24-07-2019","1,387.35","1,410.25","1,420.20","1,376.15","5.43M","-1.57%"
"23-07-2019","1,409.50","1,414.80","1,414.80","1,386.20","4.01M","0.41%"
"22-07-2019","1,403.70","1,409.60","1,419.00","1,394.00","2.65M","-0.56%"
"19-07-2019","1,411.55","1,446.40","1,446.80","1,402.10","3.20M","-1.65%"
"18-07-2019","1,435.20","1,444.80","1,454.95","1,432.00","2.34M","-1.39%"
"17-07-2019","1,455.45","1,461.00","1,470.55","1,452.00","2.23M","-0.39%"
"16-07-2019","1,461.20","1,442.00","1,464.00","1,426.90","3.65M","1.43%"
"15-07-2019","1,440.60","1,471.00","1,473.95","1,431.90","3.95M","-1.79%"
"12-07-2019","1,466.85","1,499.00","1,499.00","1,462.00","3.50M","-1.90%"
"11-07-2019","1,495.20","1,512.00","1,512.95","1,490.10","2.16M","-0.29%"
"10-07-2019","1,499.55","1,523.80","1,529.60","1,482.70","2.82M","-1.77%"
"09-07-2019","1,526.60","1,486.60","1,538.40","1,485.35","4.33M","2.43%"
"08-07-2019","1,490.35","1,549.90","1,551.25","1,461.55","4.70M","-4.36%"
"05-07-2019","1,558.35","1,581.00","1,591.65","1,545.55","3.69M","-0.85%"
"04-07-2019","1,571.70","1,582.95","1,590.60","1,568.25","1.98M","-0.40%"
"03-07-2019","1,578.05","1,565.00","1,583.90","1,560.20","2.80M","0.91%"
"02-07-2019","1,563.85","1,560.00","1,565.95","1,553.00","1.29M","0.46%"
"01-07-2019","1,556.65","1,563.45","1,569.00","1,552.25","1.54M","0.22%"
"28-06-2019","1,553.20","1,556.20","1,573.90","1,547.65","3.00M","0.15%"
"27-06-2019","1,550.90","1,560.00","1,568.95","1,540.65","3.76M","-0.02%"
"26-06-2019","1,551.20","1,533.00","1,563.75","1,529.00","2.79M","1.06%"
"25-06-2019","1,535.00","1,545.80","1,552.00","1,521.10","2.38M","-0.39%"
"24-06-2019","1,541.00","1,545.50","1,563.45","1,537.15","1.94M","0.08%"
"21-06-2019","1,539.75","1,560.00","1,569.95","1,530.00","3.03M","-1.11%"
"20-06-2019","1,557.10","1,509.25","1,563.00","1,507.05","3.48M","3.45%"
"19-06-2019","1,505.15","1,513.95","1,530.00","1,497.00","2.14M","-0.01%"
"18-06-2019","1,505.30","1,500.00","1,519.95","1,497.80","2.10M","0.44%"
"17-06-2019","1,498.75","1,530.00","1,537.00","1,495.25","2.05M","-1.81%"
"14-06-2019","1,526.30","1,521.00","1,539.90","1,513.05","1.85M","0.58%"
"13-06-2019","1,517.55","1,509.00","1,529.00","1,504.60","1.83M","0.55%"
"12-06-2019","1,509.25","1,524.10","1,525.90","1,503.70","1.50M","-0.99%"
"11-06-2019","1,524.30","1,540.20","1,540.20","1,522.00","1.75M","-0.51%"
"10-06-2019","1,532.10","1,525.00","1,542.00","1,521.30","1.61M","1.21%"
"07-06-2019","1,513.85","1,518.55","1,533.70","1,495.50","2.57M","-0.14%"
"06-06-2019","1,515.90","1,569.65","1,571.80","1,511.60","3.27M","-3.43%"
"04-06-2019","1,569.80","1,561.00","1,585.00","1,558.00","3.85M","0.67%"
"03-06-2019","1,559.40","1,563.70","1,570.00","1,546.40","2.62M","0.12%"
"31-05-2019","1,557.55","1,569.95","1,581.50","1,534.80","3.95M","-0.07%"
"30-05-2019","1,558.60","1,550.00","1,569.35","1,540.00","2.68M","0.40%"
"29-05-2019","1,552.45","1,570.20","1,596.95","1,546.20","3.07M","-1.40%"
"28-05-2019","1,574.50","1,596.00","1,607.00","1,563.30","4.99M","-1.35%"
"27-05-2019","1,596.00","1,543.70","1,600.00","1,532.10","6.73M","3.36%"
"24-05-2019","1,544.15","1,493.00","1,549.20","1,490.35","5.63M","4.61%"
"23-05-2019","1,476.10","1,476.20","1,562.40","1,466.00","10.49M","1.03%"
"22-05-2019","1,461.10","1,450.10","1,473.40","1,441.60","3.30M","0.83%"
"21-05-2019","1,449.10","1,455.00","1,462.05","1,437.85","2.96M","-0.16%"
"20-05-2019","1,451.45","1,400.00","1,455.00","1,400.00","6.21M","6.58%"
"17-05-2019","1,361.90","1,335.00","1,371.50","1,332.55","2.78M","1.85%"
"16-05-2019","1,337.15","1,326.00","1,348.00","1,308.30","2.06M","0.86%"
"15-05-2019","1,325.80","1,347.50","1,355.00","1,320.50","2.05M","-1.19%"
"14-05-2019","1,341.80","1,309.00","1,347.65","1,285.30","3.13M","1.83%"
"13-05-2019","1,317.65","1,345.00","1,355.00","1,312.00","3.42M","-2.79%"
"10-05-2019","1,355.50","1,359.65","1,362.50","1,345.10","1.47M","-0.07%"
"09-05-2019","1,356.45","1,357.00","1,368.80","1,337.60","2.46M","-0.29%"
"08-05-2019","1,360.35","1,363.90","1,371.00","1,355.00","1.60M","-0.46%"
"07-05-2019","1,366.60","1,357.40","1,374.35","1,350.00","2.60M","1.03%"
"06-05-2019","1,352.70","1,353.30","1,364.85","1,349.90","1.52M","-0.80%"
"03-05-2019","1,363.60","1,362.00","1,373.20","1,360.00","1.24M","0.36%"
"02-05-2019","1,358.75","1,349.45","1,376.50","1,342.00","1.99M","0.76%"
"30-04-2019","1,348.55","1,365.00","1,366.50","1,340.00","1.91M","-0.71%"
"26-04-2019","1,358.20","1,358.20","1,367.00","1,351.00","1.77M","0.23%"
"25-04-2019","1,355.15","1,366.85","1,380.55","1,352.15","2.89M","-0.40%"
"24-04-2019","1,360.65","1,353.00","1,363.45","1,350.00","1.75M","0.92%"
"23-04-2019","1,348.20","1,361.70","1,365.00","1,336.60","2.02M","-0.88%"
"22-04-2019","1,360.15","1,362.00","1,370.90","1,352.50","3.10M","-0.04%"
"18-04-2019","1,360.70","1,387.00","1,387.60","1,357.40","2.59M","-1.50%"
"16-04-2019","1,381.40","1,360.00","1,390.90","1,360.00","3.22M","1.81%"
"15-04-2019","1,356.90","1,365.00","1,368.00","1,354.00","1.93M","-0.29%"
"12-04-2019","1,360.90","1,380.00","1,381.85","1,358.30","2.75M","-1.24%"
"11-04-2019","1,378.00","1,371.65","1,387.95","1,371.65","3.11M","0.47%"
"10-04-2019","1,371.55","1,370.00","1,382.00","1,365.00","2.01M","-0.27%"
"09-04-2019","1,375.20","1,375.90","1,387.00","1,366.00","2.21M","0.11%"
"08-04-2019","1,373.65","1,379.70","1,386.80","1,365.45","1.01M","-0.01%"
"05-04-2019","1,373.80","1,373.75","1,392.75","1,370.30","2.04M","0.37%"
"04-04-2019","1,368.70","1,384.90","1,393.90","1,365.70","1.98M","-0.68%"
"03-04-2019","1,378.05","1,409.40","1,415.00","1,375.00","2.37M","-2.25%"
"02-04-2019","1,409.75","1,415.10","1,426.95","1,403.50","2.74M","-0.17%"
"01-04-2019","1,412.20","1,390.10","1,424.00","1,390.10","3.84M","1.94%"
"29-03-2019","1,385.30","1,394.90","1,405.00","1,380.50","2.92M","-0.10%"
"28-03-2019","1,386.70","1,371.00","1,392.50","1,364.00","3.18M","1.48%"
"27-03-2019","1,366.45","1,379.00","1,391.10","1,363.15","2.56M","-0.46%"
"26-03-2019","1,372.80","1,379.80","1,388.80","1,367.75","2.02M","-0.29%"
"25-03-2019","1,376.75","1,387.00","1,389.00","1,370.10","1.67M","-1.29%"
"22-03-2019","1,394.70","1,379.00","1,415.00","1,376.20","3.79M","1.74%"
"20-03-2019","1,370.90","1,362.00","1,382.00","1,361.00","3.87M","0.95%"
"19-03-2019","1,357.95","1,371.00","1,374.95","1,346.50","4.05M","-1.52%"
"18-03-2019","1,378.90","1,397.00","1,411.70","1,370.35","2.45M","-1.26%"
"15-03-2019","1,396.50","1,386.00","1,410.80","1,378.60","5.72M","1.21%"
"14-03-2019","1,379.75","1,384.70","1,396.00","1,377.00","1.84M","0.08%"
"13-03-2019","1,378.60","1,395.70","1,397.55","1,372.85","2.24M","-0.74%"
"12-03-2019","1,388.90","1,355.00","1,403.00","1,355.00","6.63M","3.15%"
"11-03-2019","1,346.55","1,343.55","1,351.00","1,340.00","2.66M","0.53%"
"08-03-2019","1,339.40","1,350.00","1,363.00","1,337.00","4.87M","-0.96%"
"07-03-2019","1,352.40","1,323.85","1,357.30","1,310.00","6.21M","2.69%"
"06-03-2019","1,317.00","1,310.50","1,327.55","1,310.50","2.78M","0.86%"
"05-03-2019","1,305.80","1,302.00","1,310.40","1,277.05","3.95M","-0.21%"
"01-03-2019","1,308.55","1,300.30","1,311.95","1,297.25","2.83M","1.21%"
"28-02-2019","1,292.95","1,293.00","1,302.95","1,273.30","9.32M","0.64%"
"27-02-2019","1,284.70","1,270.55","1,295.00","1,268.00","3.56M","1.49%"
"26-02-2019","1,265.85","1,263.80","1,275.00","1,253.00","2.42M","-0.78%"
"25-02-2019","1,275.85","1,280.35","1,286.45","1,264.00","5.87M","-0.35%"
"22-02-2019","1,280.35","1,282.00","1,283.40","1,265.50","2.39M","-0.29%"
"21-02-2019","1,284.10","1,282.00","1,291.50","1,265.10","2.39M","0.59%"
"20-02-2019","1,276.55","1,265.00","1,282.65","1,264.20","2.43M","1.45%"
"19-02-2019","1,258.30","1,245.00","1,270.00","1,245.00","2.39M","1.11%"
"18-02-2019","1,244.50","1,245.00","1,259.55","1,240.00","2.19M","0.11%"
"15-02-2019","1,243.10","1,244.00","1,253.90","1,230.90","3.62M","1.26%"
"14-02-2019","1,227.60","1,219.00","1,231.75","1,201.10","6.97M","0.90%"
"13-02-2019","1,216.65","1,248.20","1,254.85","1,211.90","2.53M","-2.42%"
"12-02-2019","1,246.85","1,244.50","1,264.90","1,241.55","1.57M","0.03%"
"11-02-2019","1,246.50","1,259.00","1,259.00","1,221.00","2.98M","-1.21%"
"08-02-2019","1,261.75","1,295.00","1,298.90","1,255.55","2.99M","-2.65%"
"07-02-2019","1,296.05","1,314.00","1,320.85","1,289.20","1.56M","-1.40%"
"06-02-2019","1,314.40","1,308.00","1,322.00","1,293.05","2.03M","0.75%"
"05-02-2019","1,304.60","1,310.70","1,323.00","1,300.00","1.45M","-0.21%"
"04-02-2019","1,307.40","1,326.85","1,326.85","1,302.60","2.31M","-1.30%"
"01-02-2019","1,324.60","1,315.50","1,334.55","1,313.00","2.52M","0.78%"
"31-01-2019","1,314.30","1,304.00","1,321.70","1,296.55","5.85M","1.53%"
"30-01-2019","1,294.45","1,284.30","1,309.00","1,281.00","2.39M","1.28%"
"29-01-2019","1,278.05","1,304.00","1,308.80","1,268.20","3.69M","-1.72%"
"28-01-2019","1,300.45","1,295.45","1,337.90","1,291.65","8.00M","1.17%"
"25-01-2019","1,285.45","1,300.00","1,314.10","1,281.50","3.14M","-0.76%"
"24-01-2019","1,295.35","1,305.00","1,305.55","1,287.00","1.65M","-0.47%"
"23-01-2019","1,301.45","1,301.00","1,306.90","1,293.55","1.82M","0.02%"
"22-01-2019","1,301.15","1,316.90","1,321.50","1,298.10","2.54M","-1.02%"
"21-01-2019","1,314.55","1,279.00","1,337.25","1,273.45","8.81M","-0.25%"
"18-01-2019","1,317.90","1,350.85","1,352.00","1,313.00","2.14M","-2.09%"
"17-01-2019","1,346.05","1,345.10","1,351.80","1,336.95","1.61M","0.29%"
"16-01-2019","1,342.15","1,342.90","1,361.50","1,336.00","2.45M","0.09%"
"15-01-2019","1,340.90","1,340.00","1,348.00","1,330.00","3.08M","0.52%"
"14-01-2019","1,333.90","1,367.20","1,367.20","1,331.00","3.08M","-2.61%"
"11-01-2019","1,369.60","1,393.00","1,393.90","1,361.05","2.49M","-1.65%"
"10-01-2019","1,392.60","1,388.00","1,398.90","1,383.25","1.06M","0.47%"
"09-01-2019","1,386.05","1,389.50","1,393.55","1,372.00","1.41M","0.28%"
"08-01-2019","1,382.20","1,387.50","1,393.85","1,375.00","1.44M","-0.12%"
"07-01-2019","1,383.80","1,397.00","1,408.60","1,379.05","1.85M","-0.31%"
"04-01-2019","1,388.05","1,401.90","1,407.60","1,373.55","2.71M","-0.50%"
"03-01-2019","1,395.00","1,426.00","1,429.00","1,391.00","2.29M","-2.14%"
"02-01-2019","1,425.50","1,441.00","1,444.90","1,417.10","2.06M","-1.14%"
"01-01-2019","1,441.90","1,445.00","1,445.00","1,425.20","786.85K","0.30%"
"31-12-2018","1,437.55","1,445.00","1,450.00","1,431.20","1.49M","-0.13%"
"28-12-2018","1,439.40","1,426.55","1,448.00","1,426.30","1.92M","1.01%"
"27-12-2018","1,425.05","1,429.20","1,434.35","1,408.50","1.87M","0.17%"
"26-12-2018","1,422.65","1,398.80","1,432.00","1,384.30","1.71M","1.27%"
"24-12-2018","1,404.80","1,427.60","1,428.70","1,400.00","1.39M","-1.07%"
"21-12-2018","1,420.00","1,450.80","1,459.70","1,415.20","1.98M","-2.12%"
"20-12-2018","1,450.80","1,430.60","1,453.00","1,423.25","2.78M","1.12%"
"19-12-2018","1,434.75","1,431.00","1,438.00","1,426.40","2.07M","0.44%"
"18-12-2018","1,428.50","1,405.00","1,430.00","1,405.00","1.57M","1.46%"
"17-12-2018","1,408.00","1,395.40","1,424.40","1,395.05","1.61M","-0.24%"
"14-12-2018","1,411.40","1,423.45","1,428.55","1,405.05","2.19M","-1.06%"
"13-12-2018","1,426.45","1,413.70","1,429.00","1,406.00","1.86M","1.87%"
"12-12-2018","1,400.30","1,368.60","1,407.65","1,365.50","1.75M","2.86%"
"11-12-2018","1,361.40","1,358.00","1,369.85","1,343.65","2.30M","-0.46%"
"10-12-2018","1,367.75","1,374.70","1,386.40","1,358.20","1.66M","-2.30%"
"07-12-2018","1,399.90","1,387.00","1,404.00","1,372.10","1.19M","1.48%"
"06-12-2018","1,379.50","1,387.80","1,397.05","1,372.05","1.57M","-1.10%"
