"Date","Price","Open","High","Low","Vol.","Change %"
"20-02-2026","873.30","864.25","877.00","861.70","530.13K","1.05%"
"19-02-2026","864.25","878.70","882.50","860.95","611.88K","-1.64%"
"18-02-2026","878.70","875.60","880.90","870.75","550.25K","0.53%"
"17-02-2026","874.10","868.80","879.50","864.05","672.53K","0.57%"
"16-02-2026","869.15","862.40","870.85","853.55","716.92K","0.78%"
"13-02-2026","862.40","872.40","877.00","856.20","875.03K","-2.11%"
"12-02-2026","880.95","876.45","882.30","872.00","1.16M","0.65%"
"11-02-2026","875.30","881.00","886.95","865.05","2.03M","-1.84%"
"10-02-2026","891.70","899.00","902.80","888.70","1.11M","-0.42%"
"09-02-2026","895.45","901.95","908.00","884.25","2.32M","-0.71%"
"06-02-2026","901.85","847.45","907.50","847.45","15.82M","7.40%"
"05-02-2026","839.75","835.50","842.00","831.45","672.40K","0.53%"
"04-02-2026","835.30","840.00","841.35","830.80","618.12K","-0.36%"
"03-02-2026","838.30","823.00","843.00","822.25","2.21M","4.51%"
"02-02-2026","802.15","800.00","807.00","788.45","1.07M","0.39%"
"01-02-2026","799.00","830.65","830.65","795.80","842.93K","-3.09%"
"30-01-2026","824.50","816.90","834.90","813.20","719.86K","0.43%"
"29-01-2026","821.00","822.05","827.05","816.30","530.85K","-0.14%"
"28-01-2026","822.15","808.90","825.00","808.70","633.77K","1.78%"
"27-01-2026","807.80","804.90","810.00","797.65","960.99K","0.67%"
"23-01-2026","802.45","821.95","827.30","800.10","777.23K","-2.06%"
"22-01-2026","819.30","810.70","824.25","809.20","2.02M","1.20%"
"21-01-2026","809.55","808.95","813.80","802.55","1.13M","0.05%"
"20-01-2026","809.15","809.75","820.90","805.00","974.48K","-0.07%"
"19-01-2026","809.75","818.00","822.20","806.70","1.02M","-1.30%"
"16-01-2026","820.40","826.70","830.80","818.90","710.19K","-0.76%"
"14-01-2026","826.70","830.00","832.85","824.50","564.88K","-0.61%"
"13-01-2026","831.75","833.10","838.90","825.80","654.73K","-0.04%"
"12-01-2026","832.10","829.00","836.80","823.05","856.97K","0.37%"
"09-01-2026","829.00","838.00","842.40","826.50","1.12M","-1.05%"
"08-01-2026","837.80","850.10","851.30","835.10","860.55K","-1.66%"
"07-01-2026","851.95","850.05","854.45","845.55","881.42K","0.22%"
"06-01-2026","850.05","848.00","858.60","848.00","969.13K","0.45%"
"05-01-2026","846.20","858.50","863.60","843.70","2.08M","-1.70%"
"02-01-2026","860.85","853.20","862.00","851.20","577.78K","0.94%"
"01-01-2026","852.80","855.00","859.35","851.55","240.95K","-0.25%"
"31-12-2025","854.90","846.55","859.45","846.00","449.88K","0.67%"
"30-12-2025","849.25","841.20","850.35","838.60","1.08M","0.83%"
"29-12-2025","842.25","846.10","854.50","840.25","640.41K","-0.88%"
"26-12-2025","849.75","850.10","851.40","844.80","703.66K","-0.49%"
"24-12-2025","853.90","855.40","858.00","851.50","494.05K","-0.18%"
"23-12-2025","855.40","857.40","859.40","854.00","1.14M","-0.23%"
"22-12-2025","857.35","852.00","859.50","848.90","481.06K","0.63%"
"19-12-2025","852.00","847.40","853.25","845.90","743.94K","0.54%"
"18-12-2025","847.40","846.00","849.90","835.80","4.20M","0.34%"
"17-12-2025","844.55","859.00","859.05","843.10","705.55K","-1.16%"
"16-12-2025","854.50","860.00","860.00","850.30","1.26M","-0.28%"
"15-12-2025","856.90","864.00","866.15","855.50","760.01K","-1.23%"
"12-12-2025","867.60","865.00","870.00","861.25","513.68K","1.08%"
"11-12-2025","858.35","857.00","864.00","853.50","990.56K","-0.07%"
"10-12-2025","858.95","858.00","866.85","857.30","479.24K","-0.23%"
"09-12-2025","860.95","856.00","862.65","843.40","919.41K","0.40%"
"08-12-2025","857.55","871.00","874.05","853.55","1.31M","-1.42%"
"05-12-2025","869.90","875.00","876.90","866.00","1.08M","-0.77%"
"04-12-2025","876.65","871.80","877.55","868.50","611.04K","0.99%"
"03-12-2025","868.05","885.05","888.60","866.30","1.74M","-1.79%"
"02-12-2025","883.90","885.00","891.60","882.00","1.22M","0.20%"
"01-12-2025","882.10","896.95","899.85","880.15","1.07M","-1.38%"
"28-11-2025","894.45","900.00","902.95","893.25","1.04M","-0.64%"
"27-11-2025","900.25","896.00","902.00","891.25","1.69M","0.61%"
"26-11-2025","894.80","896.95","901.90","893.60","847.55K","-0.32%"
"25-11-2025","897.65","892.10","900.80","891.50","1.11M","0.29%"
"24-11-2025","895.05","902.40","904.20","888.20","1.14M","-0.81%"
"21-11-2025","902.40","909.00","910.00","899.25","1.65M","-0.65%"
"20-11-2025","908.30","915.00","919.95","906.05","1.30M","-0.63%"
"19-11-2025","914.05","915.50","921.00","910.50","923.86K","-0.16%"
"18-11-2025","915.50","915.35","920.60","906.60","1.29M","0.02%"
"17-11-2025","915.35","909.45","916.65","908.20","926.99K","0.65%"
"14-11-2025","909.45","900.00","910.75","897.60","830.41K","0.73%"
"13-11-2025","902.85","900.50","908.45","888.15","3.37M","0.30%"
"12-11-2025","900.15","903.15","909.80","898.15","2.49M","-0.05%"
"11-11-2025","900.60","904.00","904.85","895.05","2.03M","0.10%"
"10-11-2025","899.70","926.90","931.90","898.00","3.20M","-2.65%"
"07-11-2025","924.15","910.00","936.95","895.10","7.70M","3.13%"
"06-11-2025","896.10","902.10","906.65","892.25","1.20M","-1.06%"
"04-11-2025","905.70","925.00","925.00","902.10","1.97M","-1.54%"
"03-11-2025","919.90","894.70","923.00","894.70","2.97M","2.82%"
"31-10-2025","894.70","897.15","901.00","890.30","1.28M","-0.67%"
"30-10-2025","900.75","910.85","910.85","897.10","756.39K","-0.88%"
"29-10-2025","908.75","899.00","916.90","899.00","1.65M","0.98%"
"28-10-2025","899.90","897.65","920.60","895.55","2.52M","0.25%"
"27-10-2025","897.65","887.25","900.80","885.55","871.09K","0.90%"
"24-10-2025","889.65","902.70","903.00","885.00","567.66K","-1.14%"
"23-10-2025","899.95","893.00","904.90","893.00","1.45M","0.88%"
"21-10-2025","892.10","890.00","894.70","890.00","114.20K","0.03%"
"20-10-2025","891.85","888.00","897.70","886.85","373.50K","0.72%"
"17-10-2025","885.50","894.15","897.65","884.10","561.02K","-0.97%"
"16-10-2025","894.15","899.00","903.50","891.50","765.78K","-0.53%"
"15-10-2025","898.95","900.90","908.00","897.35","574.96K","-0.34%"
"14-10-2025","902.00","899.00","906.00","895.00","1.58M","0.53%"
"13-10-2025","897.25","892.10","902.10","890.10","538.87K","-0.06%"
"10-10-2025","897.80","895.00","907.40","891.30","815.59K","0.29%"
"09-10-2025","895.20","893.80","897.70","889.10","693.27K","0.16%"
"08-10-2025","893.80","911.00","912.55","890.15","1.27M","-2.03%"
"07-10-2025","912.35","907.15","920.60","907.10","1.19M","0.57%"
"06-10-2025","907.15","900.00","911.35","898.50","1.40M","0.21%"
"03-10-2025","905.25","904.10","912.80","900.70","891.71K","0.13%"
"01-10-2025","904.10","900.35","910.00","895.60","1.28M","0.42%"
"30-09-2025","900.35","897.00","907.00","892.65","1.08M","0.59%"
"29-09-2025","895.05","872.45","896.50","872.25","872.37K","2.59%"
"26-09-2025","872.45","887.60","887.60","870.55","499.92K","-1.77%"
"25-09-2025","888.20","890.50","898.25","884.00","1.07M","-0.68%"
"24-09-2025","894.25","897.65","902.10","892.35","553.36K","-0.38%"
"23-09-2025","897.65","904.45","908.65","896.45","2.45M","-0.76%"
"22-09-2025","904.50","893.55","913.80","893.00","2.59M","1.23%"
"19-09-2025","893.55","890.20","899.85","890.20","1.47M","0.47%"
"18-09-2025","889.40","889.05","892.95","886.75","646.30K","0.46%"
"17-09-2025","885.35","883.00","888.00","882.10","664.76K","0.32%"
"16-09-2025","882.55","882.00","889.00","878.55","877.03K","-0.13%"
"15-09-2025","883.70","876.00","885.95","875.15","1.11M","1.02%"
"12-09-2025","874.75","875.20","878.85","873.40","958.58K","-0.27%"
"11-09-2025","877.10","878.00","879.20","871.40","970.03K","-0.06%"
"10-09-2025","877.65","874.70","880.00","874.70","546.18K","0.34%"
"09-09-2025","874.70","875.00","879.90","872.55","583.07K","-0.21%"
"08-09-2025","876.55","878.90","882.20","871.60","484.89K","-0.09%"
"05-09-2025","877.35","879.65","882.25","865.20","990.25K","-0.09%"
"04-09-2025","878.10","910.00","910.00","873.35","2.69M","0.85%"
"03-09-2025","870.70","868.45","872.95","865.95","648.68K","0.76%"
"02-09-2025","864.15","863.35","868.85","856.00","500.85K","0.58%"
"01-09-2025","859.15","853.80","864.95","852.15","784.73K","0.82%"
"29-08-2025","852.15","868.90","870.30","850.10","926.24K","-2.00%"
"28-08-2025","869.50","887.00","889.60","866.00","903.33K","-2.12%"
"26-08-2025","888.35","891.25","894.50","885.05","1.03M","-0.64%"
"25-08-2025","894.05","891.00","895.65","887.50","621.63K","0.56%"
"22-08-2025","889.10","895.60","900.80","886.05","755.98K","-0.73%"
"21-08-2025","895.60","917.00","917.00","886.60","1.84M","-0.42%"
"20-08-2025","899.35","892.85","901.30","890.70","433.00K","0.56%"
"19-08-2025","894.30","891.00","896.30","883.00","1.16M","0.47%"
"18-08-2025","890.15","909.60","915.20","888.40","1.33M","0.27%"
"14-08-2025","887.75","890.00","894.60","885.00","761.94K","0.03%"
"13-08-2025","887.50","916.00","920.95","881.20","1.53M","-3.16%"
"12-08-2025","916.50","905.00","928.00","903.90","1.28M","1.12%"
"11-08-2025","906.35","914.00","916.80","892.10","1.32M","-0.72%"
"08-08-2025","912.95","905.00","927.10","904.00","4.53M","3.16%"
"07-08-2025","885.00","894.90","896.30","874.00","554.21K","-0.87%"
"06-08-2025","892.75","890.00","902.00","888.00","691.08K","0.06%"
"05-08-2025","892.25","890.00","899.10","890.00","454.68K","-0.34%"
"04-08-2025","895.30","880.05","897.50","878.00","818.70K","1.18%"
"01-08-2025","884.85","895.00","900.25","881.70","882.60K","-1.13%"
"31-07-2025","895.00","895.95","896.95","888.15","583.64K","-0.78%"
"30-07-2025","902.00","899.00","906.95","899.00","587.83K","0.33%"
"29-07-2025","899.05","888.95","902.95","886.65","530.16K","0.93%"
"28-07-2025","890.80","881.10","898.90","880.05","980.46K","0.45%"
"25-07-2025","886.85","910.00","910.00","882.10","1.22M","-3.29%"
"24-07-2025","917.00","922.00","925.35","910.05","481.85K","-0.54%"
"23-07-2025","922.00","922.50","925.45","914.70","625.34K","0.32%"
"22-07-2025","919.05","929.10","932.70","916.30","480.58K","-0.98%"
"21-07-2025","928.15","920.00","929.95","917.60","458.34K","0.54%"
"18-07-2025","923.15","928.25","932.85","920.30","311.22K","-0.55%"
"17-07-2025","928.25","933.00","935.75","927.00","402.40K","-0.47%"
"16-07-2025","932.65","927.50","933.65","925.20","538.37K","0.81%"
"15-07-2025","925.20","916.40","927.00","916.40","409.78K","0.96%"
"14-07-2025","916.40","920.60","921.70","912.00","843.16K","-0.65%"
"11-07-2025","922.40","926.55","933.95","920.50","602.07K","-0.45%"
"10-07-2025","926.55","937.00","941.95","921.00","1.99M","-2.06%"
"09-07-2025","946.00","946.85","953.00","944.55","482.38K","-0.09%"
"08-07-2025","946.85","943.70","949.05","940.90","540.49K","0.33%"
"07-07-2025","943.70","940.70","947.00","938.05","464.63K","0.32%"
"04-07-2025","940.70","945.00","953.85","934.00","787.03K","-0.56%"
"03-07-2025","946.00","958.00","961.50","944.90","913.79K","-1.25%"
"02-07-2025","958.00","967.00","970.95","952.80","721.32K","-1.33%"
"01-07-2025","970.95","977.00","977.90","962.55","904.58K","-0.19%"
"30-06-2025","972.80","957.70","980.00","957.20","2.44M","1.58%"
"27-06-2025","957.70","958.00","962.25","950.50","739.31K","0.02%"
"26-06-2025","957.55","951.10","959.20","946.30","1.40M","0.68%"
"25-06-2025","951.10","946.95","953.90","944.10","901.90K","0.58%"
"24-06-2025","945.65","948.30","954.90","943.00","1.24M","0.61%"
"23-06-2025","939.95","928.00","949.00","927.35","799.22K","0.36%"
"20-06-2025","936.55","927.80","942.00","924.15","878.91K","0.93%"
"19-06-2025","927.90","934.00","943.70","922.55","741.72K","-0.72%"
"18-06-2025","934.60","943.00","949.95","933.00","959.99K","-1.36%"
"17-06-2025","947.45","946.00","954.00","943.25","650.03K","-0.21%"
"16-06-2025","949.40","935.00","951.00","929.50","942.91K","1.22%"
"13-06-2025","937.95","933.00","943.05","921.20","1.02M","-0.61%"
"12-06-2025","943.70","964.80","964.95","942.00","1.01M","-2.19%"
"11-06-2025","964.80","950.00","968.50","947.75","2.05M","1.83%"
"10-06-2025","947.45","963.50","970.95","945.70","1.49M","-1.60%"
"09-06-2025","962.90","959.90","973.35","958.65","1.64M","0.32%"
"06-06-2025","959.85","955.65","960.95","951.80","1.05M","0.34%"
"05-06-2025","956.60","953.25","961.45","950.55","1.06M","0.35%"
"04-06-2025","953.25","954.60","957.40","946.90","1.33M","-0.04%"
"03-06-2025","953.65","961.00","968.20","950.00","1.36M","-0.91%"
"02-06-2025","962.40","954.00","966.45","946.40","2.57M","0.83%"
"30-05-2025","954.45","941.50","957.80","934.15","2.76M","1.06%"
"29-05-2025","944.45","943.50","954.65","929.00","4.63M","0.26%"
"28-05-2025","942.00","892.00","948.00","888.00","23.03M","8.12%"
"27-05-2025","871.25","873.00","873.00","861.50","1.43M","0.14%"
"26-05-2025","870.05","865.00","873.70","864.10","966.25K","1.14%"
"23-05-2025","860.25","853.00","862.80","847.00","845.82K","1.72%"
"22-05-2025","845.70","851.00","853.05","840.00","645.75K","-0.95%"
"21-05-2025","853.80","850.05","857.80","847.05","760.17K","0.36%"
"20-05-2025","850.70","856.00","873.00","847.65","1.40M","-0.51%"
"19-05-2025","855.05","857.00","865.65","853.30","1.05M","-0.23%"
"16-05-2025","857.00","843.00","861.80","839.05","2.00M","1.99%"
"15-05-2025","840.30","822.25","842.40","819.75","1.24M","2.20%"
"14-05-2025","822.20","826.40","839.70","820.40","1.20M","-0.51%"
"13-05-2025","826.40","815.50","832.00","812.95","1.19M","1.34%"
"12-05-2025","815.45","801.75","816.90","801.15","1.39M","3.62%"
"09-05-2025","786.95","760.00","789.40","760.00","1.11M","0.65%"
"08-05-2025","781.85","788.00","797.85","778.00","1.01M","-0.52%"
"07-05-2025","785.95","775.00","790.55","774.15","1.51M","0.20%"
"06-05-2025","784.35","817.45","819.70","782.35","1.27M","-4.05%"
"05-05-2025","817.45","793.20","820.80","793.20","1.17M","3.18%"
"02-05-2025","792.25","793.75","806.10","790.30","706.44K","-0.44%"
"30-04-2025","795.75","799.95","808.75","790.00","798.65K","-0.58%"
"29-04-2025","800.40","805.00","814.20","798.15","670.27K","-0.41%"
"28-04-2025","803.70","790.00","807.00","787.20","874.16K","1.58%"
