"Date","Price","Open","High","Low","Vol.","Change %"
"06-02-2020","107.25","106.80","107.80","106.30","10.75M","0.42%"
"05-02-2020","106.80","106.40","107.40","105.10","11.35M","0.61%"
"04-02-2020","106.15","104.10","106.90","103.80","16.90M","2.61%"
"03-02-2020","103.45","104.35","104.95","101.55","18.45M","-0.86%"
"01-02-2020","104.35","109.00","109.35","102.80","31.28M","-4.22%"
"31-01-2020","108.95","115.80","116.00","106.75","83.36M","-5.75%"
"30-01-2020","115.60","117.55","117.55","115.00","21.14M","-1.74%"
"29-01-2020","117.65","117.35","118.15","116.45","15.56M","0.90%"
"28-01-2020","116.60","117.55","117.70","115.60","11.61M","-0.55%"
"27-01-2020","117.25","118.35","118.50","116.80","12.08M","-0.93%"
"24-01-2020","118.35","118.00","119.80","117.30","11.17M","0.47%"
"23-01-2020","117.80","117.25","118.95","116.40","21.11M","1.20%"
"22-01-2020","116.40","122.00","122.00","116.00","23.64M","-5.17%"
"21-01-2020","122.75","123.05","124.50","122.40","6.50M","-0.12%"
"20-01-2020","122.90","126.00","126.75","120.00","16.11M","-1.99%"
"17-01-2020","125.40","124.55","125.55","124.00","8.56M","0.72%"
"16-01-2020","124.50","125.00","125.20","124.05","7.32M","-0.12%"
"15-01-2020","124.65","125.05","125.50","124.25","5.71M","-0.32%"
"14-01-2020","125.05","125.45","125.65","123.80","12.43M","-0.32%"
"13-01-2020","125.45","124.25","125.70","124.25","5.74M","1.05%"
"10-01-2020","124.15","124.45","125.20","123.70","6.55M","0.36%"
"09-01-2020","123.70","124.95","125.10","122.80","10.14M","0.20%"
"08-01-2020","123.45","125.00","125.45","123.20","6.24M","-1.83%"
"07-01-2020","125.75","125.60","127.70","125.40","7.19M","-0.40%"
"06-01-2020","126.25","129.70","129.80","125.10","14.61M","-1.71%"
"03-01-2020","128.45","131.00","133.40","128.05","31.38M","0.31%"
"02-01-2020","128.05","127.65","128.65","127.10","4.76M","0.47%"
"01-01-2020","127.45","128.75","128.90","126.85","2.57M","-1.05%"
"31-12-2019","128.80","127.20","129.25","127.20","5.10M","0.66%"
"30-12-2019","127.95","128.40","129.25","127.10","4.02M","-0.35%"
"27-12-2019","128.40","129.50","129.90","127.20","8.44M","0.31%"
"26-12-2019","128.00","126.00","129.55","124.50","23.16M","1.59%"
"24-12-2019","126.00","124.90","126.60","124.70","9.98M","1.08%"
"23-12-2019","124.65","124.90","126.30","124.05","10.47M","-0.40%"
"20-12-2019","125.15","126.00","126.80","124.85","8.52M","-0.44%"
"19-12-2019","125.70","125.10","126.85","124.20","6.22M","0.48%"
"18-12-2019","125.10","125.60","125.65","124.15","6.69M","-0.16%"
"17-12-2019","125.30","125.15","126.00","124.30","8.06M","-0.24%"
"16-12-2019","125.60","126.50","126.95","125.00","6.24M","-0.71%"
"13-12-2019","126.50","126.45","127.45","126.00","6.66M","0.48%"
"12-12-2019","125.90","128.10","128.30","125.35","9.80M","-1.64%"
"11-12-2019","128.00","126.10","128.50","125.00","6.88M","2.24%"
"10-12-2019","125.20","126.40","128.30","124.90","6.13M","-0.87%"
"09-12-2019","126.30","126.90","127.80","125.60","3.84M","-0.20%"
"06-12-2019","126.55","129.50","129.50","126.30","5.10M","-1.82%"
"05-12-2019","128.90","129.30","130.40","128.45","4.19M","-0.88%"
"04-12-2019","130.05","126.90","130.65","126.85","5.82M","1.88%"
"03-12-2019","127.65","128.10","128.40","126.00","7.81M","-0.35%"
"02-12-2019","128.10","131.05","131.45","127.55","15.01M","-2.77%"
"29-11-2019","131.75","133.05","133.45","130.50","9.43M","-1.05%"
"28-11-2019","133.15","132.40","133.55","131.10","6.66M","0.38%"
"27-11-2019","132.65","130.40","133.05","129.55","5.34M","1.84%"
"26-11-2019","130.25","131.85","133.40","129.25","16.12M","-0.53%"
"25-11-2019","130.95","133.85","134.55","130.50","11.93M","-2.17%"
"22-11-2019","133.85","131.00","134.65","130.80","6.32M","2.06%"
"21-11-2019","131.15","133.70","134.50","130.60","7.95M","-1.91%"
"20-11-2019","133.70","132.85","135.25","132.25","7.66M","0.34%"
"19-11-2019","133.25","135.00","135.10","132.80","5.82M","-0.49%"
"18-11-2019","133.90","135.45","136.10","133.20","6.85M","-1.22%"
"15-11-2019","135.55","137.30","138.80","135.15","8.39M","-0.48%"
"14-11-2019","136.20","138.20","139.25","135.65","8.18M","-1.45%"
"13-11-2019","138.20","139.10","140.40","137.50","7.97M","-0.65%"
"11-11-2019","139.10","138.40","139.75","136.65","7.03M","0.58%"
"08-11-2019","138.30","141.95","143.50","137.60","8.25M","-2.64%"
"07-11-2019","142.05","144.95","145.05","140.40","7.33M","-1.80%"
"06-11-2019","144.65","146.35","148.00","143.85","6.21M","-1.16%"
"05-11-2019","146.35","148.20","148.75","145.00","7.88M","-0.71%"
"04-11-2019","147.40","144.15","149.65","144.15","11.73M","2.25%"
"01-11-2019","144.15","140.55","144.75","140.10","8.05M","1.73%"
"31-10-2019","141.70","140.60","142.20","139.65","22.28M","0.82%"
"30-10-2019","140.55","144.00","144.00","139.80","7.06M","-1.13%"
"29-10-2019","142.15","140.55","143.85","138.20","8.24M","1.64%"
"27-10-2019","139.85","139.85","139.85","139.85","","0.21%"
"25-10-2019","139.55","141.60","141.60","138.10","6.64M","-0.82%"
"24-10-2019","140.70","141.90","142.20","139.05","6.92M","-0.85%"
"23-10-2019","141.90","144.25","144.95","141.25","7.50M","-1.63%"
"22-10-2019","144.25","143.50","146.15","142.20","11.58M","0.52%"
"18-10-2019","143.50","140.10","144.50","139.90","17.60M","1.49%"
"17-10-2019","141.40","141.10","141.90","139.15","9.37M","-0.18%"
"16-10-2019","141.65","140.00","143.20","138.30","15.15M","2.16%"
"15-10-2019","138.65","137.00","139.15","135.35","17.15M","2.51%"
"14-10-2019","135.25","129.45","136.45","129.00","19.46M","4.84%"
"11-10-2019","129.00","126.30","129.90","126.10","11.84M","2.79%"
