"Date","Price","Open","High","Low","Vol.","Change %"
"06-02-2020","430.65","428.20","438.00","424.00","7.75M","1.03%"
"05-02-2020","426.25","429.50","431.40","421.90","3.83M","0.14%"
"04-02-2020","425.65","416.95","426.90","412.85","4.85M","1.94%"
"03-02-2020","417.55","423.80","428.90","414.00","4.03M","-1.24%"
"01-02-2020","422.80","432.70","437.35","419.75","2.22M","-2.65%"
"31-01-2020","434.30","442.60","445.40","432.65","3.76M","-1.76%"
"30-01-2020","442.10","451.50","453.75","440.30","3.49M","-1.78%"
"29-01-2020","450.10","454.85","456.75","449.45","3.10M","-0.62%"
"28-01-2020","452.90","448.25","462.50","448.05","9.49M","1.00%"
"27-01-2020","448.40","447.00","451.75","442.20","3.53M","0.13%"
"24-01-2020","447.80","450.00","452.85","446.80","2.15M","-0.46%"
"23-01-2020","449.85","447.20","452.20","445.00","1.88M","0.80%"
"22-01-2020","446.30","448.40","453.85","445.35","3.41M","-0.25%"
"21-01-2020","447.40","448.00","451.75","446.00","2.57M","-0.46%"
"20-01-2020","449.45","454.20","456.20","446.15","2.82M","-1.13%"
"17-01-2020","454.60","448.20","456.25","446.00","3.22M","1.24%"
"16-01-2020","449.05","452.25","456.35","447.40","4.42M","0.00%"
"15-01-2020","449.05","447.60","450.70","443.65","3.05M","0.68%"
"14-01-2020","446.00","447.00","449.50","444.40","2.71M","0.31%"
"13-01-2020","444.60","447.00","453.65","442.55","4.82M","0.23%"
"10-01-2020","443.60","440.10","449.00","440.00","4.33M","0.85%"
"09-01-2020","439.85","442.70","444.85","439.00","3.93M","-0.06%"
"08-01-2020","440.10","442.95","446.50","439.00","3.88M","-1.41%"
"07-01-2020","446.40","441.40","448.00","437.55","4.50M","1.47%"
"06-01-2020","439.95","440.90","444.70","435.10","4.79M","-1.05%"
"03-01-2020","444.60","434.65","450.40","433.05","9.46M","2.22%"
"02-01-2020","434.95","434.00","442.60","432.00","4.56M","0.15%"
"01-01-2020","434.30","432.95","436.45","431.25","2.32M","0.40%"
"31-12-2019","432.55","430.10","435.40","428.70","2.96M","0.56%"
"30-12-2019","430.15","428.95","433.50","426.70","4.76M","0.97%"
"27-12-2019","426.00","422.00","427.15","421.40","3.41M","0.91%"
"26-12-2019","422.15","430.90","431.40","420.65","5.30M","-1.78%"
"24-12-2019","429.80","428.00","432.45","425.40","4.21M","0.33%"
"23-12-2019","428.40","427.10","432.00","426.60","4.53M","-0.44%"
"20-12-2019","430.30","429.15","436.70","428.05","7.16M","-0.76%"
"19-12-2019","433.60","439.80","440.60","427.50","6.47M","-1.40%"
"18-12-2019","439.75","430.00","441.40","427.30","5.34M","2.49%"
"17-12-2019","429.05","434.00","437.50","426.25","6.41M","-1.40%"
"16-12-2019","435.15","431.25","437.20","426.40","8.29M","-0.93%"
"13-12-2019","439.25","437.60","441.90","425.60","5.39M","1.17%"
"12-12-2019","434.15","430.90","437.90","430.25","2.79M","1.01%"
"11-12-2019","429.80","429.10","431.90","425.15","3.32M","0.50%"
"10-12-2019","427.65","429.60","435.75","425.30","5.58M","0.15%"
"09-12-2019","427.00","431.85","434.60","423.60","4.96M","-0.37%"
"06-12-2019","428.60","440.30","444.20","427.00","5.81M","-1.85%"
"05-12-2019","436.70","440.00","441.95","433.25","4.10M","-1.58%"
"04-12-2019","443.70","433.50","444.70","431.70","4.32M","2.33%"
"03-12-2019","433.60","441.40","442.20","430.50","3.60M","-1.45%"
"02-12-2019","440.00","449.00","449.60","437.00","4.93M","-2.19%"
"29-11-2019","449.85","458.40","460.55","447.45","3.20M","-1.64%"
"28-11-2019","457.35","456.20","462.40","455.15","4.01M","-0.31%"
"27-11-2019","458.75","449.95","461.00","447.55","6.48M","1.77%"
"26-11-2019","450.75","463.80","467.40","446.50","11.28M","-1.79%"
"25-11-2019","458.95","453.00","463.90","450.00","8.25M","1.52%"
"22-11-2019","452.10","450.00","461.90","445.10","12.11M","1.11%"
"21-11-2019","447.15","450.00","454.45","443.60","7.48M","-0.63%"
"20-11-2019","450.00","427.20","460.60","423.85","23.11M","5.66%"
"19-11-2019","425.90","425.00","429.90","421.60","4.16M","0.32%"
"18-11-2019","424.55","418.00","430.00","417.05","7.71M","2.29%"
"15-11-2019","415.05","412.75","418.90","410.15","5.42M","1.18%"
"14-11-2019","410.20","413.20","417.35","407.55","4.75M","-0.44%"
"13-11-2019","412.00","420.00","426.90","410.00","6.03M","-2.24%"
"11-11-2019","421.45","415.00","423.30","407.10","10.25M","-0.15%"
"08-11-2019","422.10","442.00","442.50","420.85","11.90M","-4.20%"
"07-11-2019","440.60","431.70","444.00","423.40","14.29M","2.97%"
"06-11-2019","427.90","432.40","452.90","422.10","15.92M","-0.47%"
"05-11-2019","429.90","435.50","439.80","424.05","6.72M","-1.84%"
"04-11-2019","437.95","439.95","442.40","433.65","4.65M","0.09%"
"01-11-2019","437.55","434.65","440.90","433.10","3.55M","0.96%"
"31-10-2019","433.40","429.60","440.55","428.80","6.71M","0.87%"
"30-10-2019","429.65","426.95","432.55","418.10","3.51M","1.82%"
"29-10-2019","421.95","417.70","425.50","414.00","3.86M","1.01%"
"27-10-2019","417.75","417.75","417.75","417.75","","0.06%"
"25-10-2019","417.50","405.00","419.50","401.05","4.85M","2.85%"
"24-10-2019","405.95","405.00","407.75","398.70","3.02M","0.19%"
"23-10-2019","405.20","405.60","411.35","403.00","3.37M","-0.06%"
"22-10-2019","405.45","402.00","408.00","400.95","2.94M","0.95%"
"18-10-2019","401.65","401.00","406.50","397.50","4.65M","0.04%"
"17-10-2019","401.50","401.60","402.55","396.80","2.93M","0.45%"
"16-10-2019","399.70","398.05","402.20","394.25","5.50M","0.73%"
"15-10-2019","396.80","397.20","400.00","392.25","2.89M","0.54%"
"14-10-2019","394.65","387.00","399.00","387.00","4.37M","2.16%"
"11-10-2019","386.30","387.40","389.35","381.50","4.27M","-0.19%"
"10-10-2019","387.05","385.00","389.80","378.70","4.58M","0.81%"
"09-10-2019","383.95","378.00","387.75","374.20","4.99M","1.07%"
"07-10-2019","379.90","386.05","387.65","372.60","5.15M","-1.59%"
"04-10-2019","386.05","389.00","394.00","384.20","4.02M","-0.54%"
"03-10-2019","388.15","382.00","391.45","377.65","5.22M","0.41%"
"01-10-2019","386.55","388.50","396.40","380.10","4.31M","-0.74%"
"30-09-2019","389.45","402.90","403.00","386.55","6.67M","-3.05%"
"27-09-2019","401.70","412.00","412.50","400.25","3.84M","-2.49%"
"26-09-2019","411.95","406.75","413.00","405.30","5.31M","1.28%"
"25-09-2019","406.75","409.60","412.70","401.75","5.03M","-0.71%"
"24-09-2019","409.65","408.00","419.70","406.35","5.86M","0.05%"
"23-09-2019","409.45","418.00","424.30","405.40","7.34M","-1.03%"
"20-09-2019","413.70","413.90","420.80","408.00","11.79M","0.62%"
"19-09-2019","411.15","416.80","418.90","408.20","4.24M","-1.36%"
"18-09-2019","416.80","423.90","424.60","414.25","3.73M","-0.92%"
"17-09-2019","420.65","426.70","427.55","419.15","3.37M","-1.44%"
"16-09-2019","426.80","421.00","429.50","419.95","5.24M","0.93%"
"13-09-2019","422.85","430.45","432.85","421.10","6.85M","-1.16%"
"12-09-2019","427.80","424.75","439.80","419.45","9.90M","1.33%"
"11-09-2019","422.20","432.00","435.00","421.25","7.74M","-1.54%"
"09-09-2019","428.80","426.00","432.50","426.00","5.49M","0.87%"
"06-09-2019","425.10","416.70","427.20","414.45","12.51M","-1.55%"
"05-09-2019","431.80","428.00","433.95","423.35","8.79M","1.25%"
"04-09-2019","426.45","424.55","429.45","401.30","33.95M","-2.94%"
"03-09-2019","439.35","450.00","456.00","434.30","9.40M","-2.45%"
"30-08-2019","450.40","432.95","453.40","429.75","12.31M","3.62%"
"29-08-2019","434.65","428.00","438.60","421.10","19.97M","5.22%"
"28-08-2019","413.10","416.90","421.70","411.50","3.44M","-0.88%"
"27-08-2019","416.75","424.05","425.45","415.10","6.74M","-0.62%"
"26-08-2019","419.35","428.00","429.80","415.10","6.26M","-1.98%"
"23-08-2019","427.80","415.00","429.95","408.90","5.48M","3.20%"
"22-08-2019","414.55","416.70","420.75","408.50","5.30M","-0.59%"
"21-08-2019","417.00","421.00","425.85","413.60","5.12M","-0.93%"
"20-08-2019","420.90","426.00","426.50","417.30","5.15M","-1.20%"
"19-08-2019","426.00","424.75","434.20","421.00","11.58M","2.72%"
"16-08-2019","414.70","419.40","421.40","410.00","6.54M","-0.59%"
"14-08-2019","417.15","440.00","441.00","408.05","16.17M","-5.03%"
"13-08-2019","439.25","421.50","444.50","420.75","13.21M","4.09%"
"09-08-2019","422.00","428.00","430.35","418.45","3.43M","-1.04%"
"08-08-2019","426.45","424.00","428.20","418.15","3.16M","1.28%"
"07-08-2019","421.05","421.00","429.00","418.10","5.43M","0.68%"
"06-08-2019","418.20","416.00","422.45","414.50","3.20M","0.25%"
"05-08-2019","417.15","417.65","423.75","411.05","4.78M","-0.83%"
"02-08-2019","420.65","422.90","426.50","417.35","3.49M","-1.05%"
"01-08-2019","425.10","424.80","427.75","418.00","3.64M","-0.39%"
"31-07-2019","426.75","410.00","428.80","409.00","7.75M","4.00%"
"30-07-2019","410.35","430.00","441.30","405.00","9.46M","-4.80%"
"29-07-2019","431.05","440.00","441.70","429.20","4.45M","-2.02%"
"26-07-2019","439.95","437.00","442.20","433.10","5.09M","0.64%"
"25-07-2019","437.15","425.80","439.70","425.55","11.41M","2.73%"
"24-07-2019","425.55","430.00","432.45","421.70","5.32M","-1.09%"
"23-07-2019","430.25","431.00","435.50","427.10","6.70M","0.00%"
"22-07-2019","430.25","419.10","443.30","419.00","10.42M","2.11%"
"19-07-2019","421.35","427.00","429.40","416.05","5.10M","-1.14%"
"18-07-2019","426.20","430.05","432.90","424.65","4.71M","-0.90%"
"17-07-2019","430.05","433.00","436.30","428.10","6.50M","-0.75%"
"16-07-2019","433.30","420.80","435.00","418.65","8.63M","2.45%"
"15-07-2019","422.95","416.25","427.70","413.65","18.27M","3.74%"
