"Date","Price","Open","High","Low","Vol.","Change %"
"06-02-2020","47.76","47.80","48.73","47.16","166.66M","0.53%"
"05-02-2020","47.51","45.23","47.97","44.80","160.57M","5.13%"
"04-02-2020","45.19","44.20","45.34","43.34","133.36M","3.65%"
"03-02-2020","43.60","41.80","43.90","41.66","162.37M","2.88%"
"01-02-2020","42.38","43.15","44.00","42.01","129.15M","-3.40%"
"31-01-2020","43.87","45.30","45.42","43.65","107.39M","-2.19%"
"30-01-2020","44.85","45.19","45.45","44.14","146.52M","-0.82%"
"29-01-2020","45.22","45.28","45.97","44.96","110.82M","1.34%"
"28-01-2020","44.62","46.00","46.20","44.20","180.15M","-3.50%"
"27-01-2020","46.24","47.77","47.77","46.01","129.63M","-4.34%"
"24-01-2020","48.34","48.03","48.51","47.65","74.81M","0.67%"
"23-01-2020","48.02","47.59","48.19","47.31","72.00M","1.07%"
"22-01-2020","47.51","47.87","47.98","47.32","76.62M","-0.23%"
"21-01-2020","47.62","48.78","48.78","47.35","113.16M","-2.94%"
"20-01-2020","49.06","49.70","49.98","48.91","72.92M","-0.93%"
"17-01-2020","49.52","49.33","49.89","49.19","56.82M","0.16%"
"16-01-2020","49.44","50.20","50.41","49.21","104.38M","-1.53%"
"15-01-2020","50.21","49.19","50.35","48.91","121.18M","0.70%"
"14-01-2020","49.86","49.65","50.60","49.58","156.61M","0.56%"
"13-01-2020","49.58","49.11","49.70","48.77","109.43M","1.97%"
"10-01-2020","48.62","48.55","49.38","48.00","159.28M","0.64%"
"09-01-2020","48.31","48.50","48.60","47.91","101.31M","1.66%"
"08-01-2020","47.52","47.16","47.81","46.70","133.05M","-0.19%"
"07-01-2020","47.61","47.55","48.46","47.35","131.96M","0.59%"
"06-01-2020","47.33","48.00","48.00","47.05","96.02M","-2.15%"
"03-01-2020","48.37","48.30","48.62","47.95","129.57M","-0.23%"
"02-01-2020","48.48","47.20","48.78","47.20","216.75M","3.66%"
"01-01-2020","46.77","47.30","47.65","46.48","121.01M","-0.91%"
"31-12-2019","47.20","47.27","47.53","46.95","96.44M","-0.59%"
"30-12-2019","47.48","47.01","47.63","46.51","114.62M","1.13%"
"27-12-2019","46.95","46.92","47.18","46.32","111.44M","0.34%"
"26-12-2019","46.79","46.30","47.20","46.30","182.56M","1.06%"
"24-12-2019","46.30","46.22","46.47","45.94","112.36M","0.17%"
"23-12-2019","46.22","46.10","46.75","45.70","186.31M","0.26%"
"20-12-2019","46.10","44.60","46.34","44.31","269.31M","3.20%"
"19-12-2019","44.67","44.00","44.94","43.80","205.47M","0.43%"
"18-12-2019","44.48","43.94","45.48","43.60","400.28M","1.23%"
"17-12-2019","43.94","42.36","44.19","42.30","307.58M","4.37%"
"16-12-2019","42.10","43.20","43.20","42.02","95.66M","-1.73%"
"13-12-2019","42.84","43.02","43.46","42.34","216.28M","2.32%"
"12-12-2019","41.87","40.83","42.09","40.68","149.85M","3.26%"
"11-12-2019","40.55","40.24","40.82","40.03","82.28M","0.87%"
"10-12-2019","40.20","40.50","40.96","40.02","93.50M","-1.16%"
