"Date","Price","Open","High","Low","Vol.","Change %"
"02-01-2008","78.66","77.94","79.95","77.15","1.56M","1.81%"
"03-01-2008","77.12","77.15","78.65","76.48","826.48K","-1.96%"
"04-01-2008","76.77","77.86","78.17","76.50","724.24K","-0.45%"
"07-01-2008","83.55","75.26","84.19","75.26","3.46M","8.83%"
"08-01-2008","80.10","85.00","86.72","78.75","2.57M","-4.13%"
"09-01-2008","83.06","78.23","85.85","77.75","4.85M","3.70%"
"10-01-2008","77.79","84.05","85.00","76.50","1.79M","-6.34%"
"11-01-2008","78.46","79.40","79.80","76.81","1.19M","0.86%"
"14-01-2008","78.22","78.78","81.05","76.31","1.06M","-0.31%"
"15-01-2008","76.29","78.75","79.65","75.75","752.78K","-2.47%"
"16-01-2008","74.53","76.25","76.25","72.20","2.95M","-2.31%"
"17-01-2008","73.70","74.11","75.84","73.10","909.02K","-1.11%"
"18-01-2008","69.72","73.15","74.99","69.06","1.25M","-5.40%"
"21-01-2008","62.34","69.75","69.75","55.00","1.95M","-10.59%"
"22-01-2008","55.12","63.80","63.80","34.60","2.01M","-11.58%"
"23-01-2008","56.63","64.25","64.50","51.03","1.98M","2.74%"
"24-01-2008","54.51","62.24","62.24","50.00","1.44M","-3.74%"
"25-01-2008","61.02","55.35","61.75","55.05","1.98M","11.94%"
"28-01-2008","60.64","56.84","61.70","54.25","999.00K","-0.62%"
"29-01-2008","63.35","62.45","63.75","61.26","802.98K","4.47%"
"30-01-2008","58.32","62.50","63.50","57.00","829.18K","-7.94%"
"31-01-2008","56.85","58.40","62.95","50.00","5.22M","-2.52%"
"01-02-2008","61.39","58.25","62.25","56.24","1.81M","7.99%"
"04-02-2008","62.54","61.76","63.79","61.35","1.09M","1.87%"
"05-02-2008","62.34","61.75","63.75","61.75","458.22K","-0.32%"
"06-02-2008","57.19","60.05","60.25","56.65","2.56M","-8.26%"
"07-02-2008","56.13","57.25","58.75","55.05","1.33M","-1.85%"
"08-02-2008","53.12","57.44","57.44","51.00","2.51M","-5.36%"
"11-02-2008","51.09","53.09","53.09","49.60","1.40M","-3.82%"
"12-02-2008","49.37","51.90","52.70","48.66","2.77M","-3.37%"
"13-02-2008","49.40","49.50","51.65","48.35","1.89M","0.06%"
"14-02-2008","54.75","50.20","55.67","50.20","917.96K","10.83%"
"15-02-2008","58.20","53.50","59.00","53.10","1.48M","6.30%"
"18-02-2008","57.70","59.25","59.25","57.30","656.44K","-0.86%"
"19-02-2008","60.62","58.50","65.25","58.31","4.32M","5.06%"
"20-02-2008","56.83","60.00","60.05","56.25","1.16M","-6.25%"
"21-02-2008","59.09","59.95","59.95","57.25","866.34K","3.98%"
"22-02-2008","59.86","59.00","61.20","56.90","1.61M","1.30%"
"25-02-2008","58.87","59.00","60.00","58.05","1.60M","-1.65%"
"26-02-2008","58.15","59.63","59.63","57.62","863.02K","-1.22%"
"27-02-2008","57.81","59.99","60.00","57.40","544.00K","-0.58%"
"28-02-2008","56.41","57.80","58.50","56.10","1.90M","-2.42%"
"29-02-2008","54.98","55.25","56.90","54.26","773.28K","-2.54%"
"03-03-2008","50.91","53.35","53.95","50.13","4.41M","-7.40%"
"04-03-2008","52.01","51.75","53.25","49.25","3.71M","2.16%"
"05-03-2008","52.36","52.50","53.00","51.03","612.36K","0.67%"
"07-03-2008","50.10","50.44","51.95","49.56","2.08M","-4.32%"
"10-03-2008","50.22","49.69","51.25","46.80","1.99M","0.24%"
"11-03-2008","51.56","49.50","52.39","49.50","3.35M","2.67%"
"12-03-2008","52.17","52.95","54.73","50.35","1.69M","1.18%"
"13-03-2008","48.98","50.95","52.00","48.25","2.55M","-6.11%"
"14-03-2008","53.46","50.00","54.20","47.06","2.57M","9.15%"
"17-03-2008","46.58","50.35","51.75","44.55","4.90M","-12.87%"
"18-03-2008","45.77","47.95","48.00","45.05","1.32M","-1.74%"
"19-03-2008","46.00","48.50","49.75","45.50","1.94M","0.50%"
"24-03-2008","47.12","45.08","48.00","45.08","2.76M","2.43%"
"25-03-2008","51.12","48.00","52.80","47.80","3.10M","8.49%"
"26-03-2008","53.09","50.05","53.80","50.05","1.43M","3.85%"
"27-03-2008","53.75","50.90","54.95","50.90","2.38M","1.24%"
"28-03-2008","55.70","54.50","56.90","53.25","2.09M","3.63%"
"31-03-2008","52.85","54.75","56.24","51.75","782.30K","-5.12%"
"01-04-2008","54.02","54.05","55.00","51.70","574.86K","2.21%"
"02-04-2008","54.47","55.00","57.45","53.12","1.28M","0.83%"
"03-04-2008","51.55","52.05","54.94","50.80","1.41M","-5.36%"
"04-04-2008","49.12","52.45","52.95","49.00","3.02M","-4.71%"
"07-04-2008","51.31","49.50","52.17","48.30","1.34M","4.46%"
"08-04-2008","51.61","50.63","52.90","50.30","1.06M","0.58%"
"09-04-2008","52.34","50.60","52.80","50.60","2.30M","1.41%"
"10-04-2008","53.25","51.95","53.48","51.95","804.72K","1.74%"
"11-04-2008","53.00","53.90","55.45","51.30","2.29M","-0.47%"
"15-04-2008","56.10","49.95","57.10","49.95","1.73M","5.85%"
"16-04-2008","55.09","55.09","58.40","54.50","1.81M","-1.80%"
"17-04-2008","56.32","55.73","57.44","55.05","1.50M","2.23%"
"21-04-2008","57.03","56.55","58.85","56.25","1.36M","1.26%"
"22-04-2008","57.11","56.76","58.85","55.45","1.67M","0.14%"
"23-04-2008","55.29","56.65","57.50","54.75","3.94M","-3.19%"
"24-04-2008","54.70","57.50","57.50","54.25","1.39M","-1.07%"
"25-04-2008","55.94","54.51","57.00","52.00","3.16M","2.27%"
"28-04-2008","59.48","57.00","60.00","56.53","4.12M","6.33%"
"29-04-2008","64.79","60.00","67.25","59.95","6.73M","8.93%"
"30-04-2008","62.12","66.00","66.40","61.25","2.92M","-4.12%"
"02-05-2008","61.45","62.10","63.24","60.78","4.21M","-1.08%"
"05-05-2008","58.51","63.00","63.00","58.00","5.93M","-4.78%"
"06-05-2008","58.66","59.70","60.50","58.10","6.30M","0.26%"
"07-05-2008","58.26","59.70","60.34","57.25","4.37M","-0.68%"
"08-05-2008","57.16","57.52","58.50","55.25","5.41M","-1.89%"
"09-05-2008","54.12","56.45","57.13","53.30","2.60M","-5.32%"
"12-05-2008","55.86","53.25","56.72","52.50","5.03M","3.22%"
"13-05-2008","59.73","56.70","61.00","56.70","10.02M","6.93%"
"14-05-2008","64.61","59.85","66.14","58.32","10.40M","8.17%"
"15-05-2008","63.89","65.00","65.95","62.63","3.76M","-1.11%"
"16-05-2008","63.90","63.75","64.85","63.30","2.16M","0.02%"
"20-05-2008","60.61","63.35","64.19","60.30","3.85M","-5.15%"
"21-05-2008","60.05","60.00","62.22","59.26","4.06M","-0.92%"
"22-05-2008","59.89","59.50","61.25","58.05","4.64M","-0.27%"
"23-05-2008","60.03","60.59","61.70","60.00","2.29M","0.23%"
"26-05-2008","59.28","59.10","59.67","57.55","2.10M","-1.25%"
"27-05-2008","58.74","60.24","61.80","58.25","2.10M","-0.91%"
"28-05-2008","60.00","59.25","60.25","57.77","2.26M","2.15%"
"29-05-2008","58.40","61.24","61.24","57.50","3.23M","-2.67%"
"30-05-2008","58.97","58.51","61.30","57.51","3.95M","0.98%"
"02-06-2008","56.81","59.75","60.74","56.05","1.96M","-3.66%"
"03-06-2008","57.35","56.00","58.25","52.80","1.81M","0.95%"
"04-06-2008","58.10","57.00","58.75","57.00","1.77M","1.31%"
"05-06-2008","57.44","58.45","58.60","56.50","2.25M","-1.14%"
"06-06-2008","57.17","58.38","58.70","56.85","924.84K","-0.47%"
"09-06-2008","56.53","55.00","57.00","54.63","1.19M","-1.12%"
"10-06-2008","54.25","54.60","56.00","53.30","2.31M","-4.03%"
"11-06-2008","53.23","54.85","56.70","51.65","4.98M","-1.88%"
"12-06-2008","53.22","52.75","53.75","51.50","1.10M","-0.02%"
"13-06-2008","53.56","53.95","54.92","52.27","1.24M","0.64%"
"16-06-2008","52.05","54.20","54.75","51.41","2.36M","-2.82%"
"17-06-2008","54.97","52.30","55.45","51.56","2.88M","5.61%"
"18-06-2008","54.27","55.50","56.70","54.00","1.65M","-1.27%"
"19-06-2008","53.48","52.55","54.25","52.55","997.92K","-1.46%"
"20-06-2008","53.05","53.90","54.50","52.60","972.92K","-0.80%"
"23-06-2008","52.51","52.75","53.64","50.50","5.30M","-1.02%"
"24-06-2008","50.98","52.00","53.20","50.37","5.12M","-2.91%"
"25-06-2008","53.03","50.55","54.00","49.60","2.11M","4.02%"
"26-06-2008","52.73","53.50","54.30","52.05","1.15M","-0.57%"
"27-06-2008","51.56","51.39","52.90","50.05","1.55M","-2.22%"
"30-06-2008","49.62","51.25","52.72","49.05","934.10K","-3.76%"
"01-07-2008","50.06","50.00","50.75","47.20","2.01M","0.89%"
"02-07-2008","52.23","49.50","52.70","49.25","1.98M","4.33%"
"03-07-2008","52.50","51.90","54.50","50.15","1.52M","0.52%"
"04-07-2008","51.20","51.60","54.00","50.77","1.39M","-2.48%"
"07-07-2008","52.60","52.25","53.10","51.62","646.06K","2.73%"
"08-07-2008","51.90","51.65","52.45","50.30","839.30K","-1.33%"
"09-07-2008","53.57","52.50","54.39","52.50","528.94K","3.22%"
"10-07-2008","54.02","53.10","54.65","53.10","489.98K","0.84%"
"11-07-2008","53.14","54.29","54.90","52.75","293.72K","-1.63%"
"14-07-2008","53.41","52.50","53.99","52.25","434.68K","0.51%"
"15-07-2008","52.71","52.74","53.35","51.50","623.04K","-1.31%"
"16-07-2008","51.16","53.40","53.40","50.56","527.20K","-2.94%"
"17-07-2008","50.97","52.25","52.25","49.61","1.28M","-0.37%"
"18-07-2008","51.39","51.25","51.70","50.30","766.00K","0.82%"
"21-07-2008","51.03","51.35","51.50","50.45","377.50K","-0.70%"
"22-07-2008","53.10","51.20","54.98","50.75","973.30K","4.06%"
"23-07-2008","56.59","55.25","59.94","54.55","883.60K","6.57%"
"24-07-2008","54.86","56.10","57.50","54.25","362.00K","-3.06%"
"25-07-2008","55.56","54.00","56.50","53.95","3.74M","1.28%"
"28-07-2008","55.08","56.40","56.50","54.70","225.60K","-0.86%"
"29-07-2008","54.36","55.00","55.99","53.75","505.06K","-1.31%"
"30-07-2008","54.89","53.25","55.70","53.25","486.24K","0.97%"
"31-07-2008","56.33","54.75","57.30","54.75","2.85M","2.62%"
"01-08-2008","58.61","56.95","59.30","55.56","3.12M","4.05%"
"04-08-2008","63.72","58.99","64.20","58.99","3.19M","8.72%"
"05-08-2008","63.18","62.45","65.80","62.45","3.23M","-0.85%"
"06-08-2008","61.13","64.68","64.68","60.90","1.66M","-3.24%"
"07-08-2008","63.50","58.75","64.30","57.67","2.64M","3.88%"
"08-08-2008","63.88","63.75","65.00","62.85","1.58M","0.60%"
"11-08-2008","64.24","64.95","65.44","63.01","2.26M","0.56%"
"12-08-2008","62.66","63.45","65.15","62.41","1.37M","-2.46%"
"13-08-2008","62.31","62.45","64.00","61.80","1.06M","-0.56%"
"14-08-2008","61.09","65.25","65.25","60.65","1.11M","-1.96%"
"18-08-2008","60.86","61.00","61.48","60.08","544.10K","-0.38%"
"19-08-2008","60.02","60.15","60.50","59.25","693.72K","-1.38%"
"20-08-2008","59.98","60.02","60.70","59.50","333.32K","-0.07%"
"21-08-2008","59.16","60.00","61.25","58.63","2.37M","-1.37%"
"22-08-2008","61.87","58.30","62.23","58.30","1.32M","4.58%"
"25-08-2008","61.85","63.00","63.25","61.55","862.96K","-0.03%"
"26-08-2008","62.45","60.20","63.20","60.20","686.50K","0.97%"
"27-08-2008","61.30","62.80","63.75","61.03","1.08M","-1.84%"
"28-08-2008","62.19","61.60","62.73","61.20","1.83M","1.45%"
"29-08-2008","63.53","62.54","64.20","62.54","1.98M","2.15%"
"01-09-2008","63.55","63.40","64.92","63.00","1.54M","0.03%"
"02-09-2008","63.79","63.50","64.30","62.66","1.55M","0.38%"
"04-09-2008","62.12","63.50","63.50","61.63","938.74K","-2.62%"
"05-09-2008","61.42","61.00","63.19","60.76","2.26M","-1.13%"
"08-09-2008","61.12","63.45","63.45","60.85","1.30M","-0.49%"
"09-09-2008","59.58","61.00","61.40","58.57","1.26M","-2.52%"
"10-09-2008","59.06","58.85","60.48","58.10","598.50K","-0.87%"
"11-09-2008","58.93","59.38","59.69","57.05","942.24K","-0.22%"
"12-09-2008","58.33","59.05","59.40","58.05","461.78K","-1.02%"
"15-09-2008","57.23","61.00","61.00","53.16","999.74K","-1.89%"
"16-09-2008","57.12","56.00","57.97","54.10","418.00K","-0.19%"
"17-09-2008","57.23","57.50","58.45","56.10","818.58K","0.19%"
"18-09-2008","55.30","57.50","57.50","53.99","1.64M","-3.37%"
"19-09-2008","59.89","57.50","61.12","55.58","2.22M","8.30%"
"22-09-2008","58.63","59.95","60.30","58.10","1.49M","-2.10%"
"23-09-2008","57.38","59.85","60.45","57.00","3.56M","-2.13%"
"24-09-2008","55.70","57.50","57.99","55.51","2.15M","-2.93%"
"25-09-2008","56.00","55.39","56.73","54.55","1.90M","0.54%"
"26-09-2008","54.91","55.50","55.95","53.55","1.83M","-1.95%"
"29-09-2008","54.27","55.75","56.50","52.25","1.37M","-1.17%"
"30-09-2008","55.58","54.27","56.40","51.63","748.34K","2.41%"
"01-10-2008","55.90","56.00","57.44","53.76","1.55M","0.58%"
"03-10-2008","53.90","54.95","55.00","53.51","655.42K","-3.58%"
"06-10-2008","47.70","51.55","53.01","47.25","1.37M","-11.50%"
"07-10-2008","48.09","47.55","49.50","47.50","1.51M","0.82%"
"08-10-2008","44.55","47.00","47.00","37.15","4.94M","-7.36%"
"10-10-2008","41.11","41.88","43.50","36.90","3.02M","-7.72%"
"13-10-2008","47.30","43.09","49.49","41.55","1.29M","15.06%"
"14-10-2008","46.88","49.48","51.95","46.10","1.56M","-0.89%"
"15-10-2008","40.16","45.95","45.95","39.12","2.38M","-14.33%"
"16-10-2008","42.90","37.50","43.25","35.25","3.34M","6.82%"
"17-10-2008","41.91","44.24","44.24","40.02","2.62M","-2.31%"
"20-10-2008","42.49","42.26","43.90","40.55","3.46M","1.38%"
"21-10-2008","50.03","43.00","51.10","43.00","5.71M","17.75%"
"22-10-2008","46.38","47.51","48.75","45.60","2.25M","-7.30%"
"23-10-2008","48.92","45.05","50.50","43.85","4.01M","5.48%"
"24-10-2008","44.97","47.60","48.24","44.33","3.34M","-8.07%"
"27-10-2008","45.99","44.50","46.75","42.30","3.25M","2.27%"
"28-10-2008","47.31","48.99","48.99","46.55","501.88K","2.87%"
"29-10-2008","50.46","48.40","52.95","46.50","5.22M","6.66%"
"31-10-2008","50.41","51.30","52.75","48.40","6.92M","-0.10%"
"03-11-2008","49.61","51.50","53.25","47.63","4.10M","-1.59%"
"04-11-2008","47.66","49.25","49.65","47.09","3.18M","-3.93%"
"05-11-2008","47.31","48.00","49.45","40.00","1.57M","-0.73%"
"06-11-2008","45.41","46.00","47.41","44.65","1.08M","-4.02%"
"07-11-2008","45.95","44.50","46.50","44.05","1.12M","1.19%"
"10-11-2008","46.83","46.30","47.45","46.08","1.33M","1.92%"
"11-11-2008","45.13","47.00","47.34","45.05","1.38M","-3.63%"
"12-11-2008","44.67","44.34","46.00","43.76","1.35M","-1.02%"
"14-11-2008","43.13","45.90","46.30","42.80","1.89M","-3.45%"
"17-11-2008","41.87","43.25","43.30","40.70","953.16K","-2.92%"
"18-11-2008","41.51","41.49","42.92","40.56","1.91M","-0.86%"
"19-11-2008","42.42","40.76","43.25","40.76","2.68M","2.19%"
"20-11-2008","41.23","40.01","42.00","40.01","1.61M","-2.81%"
"21-11-2008","44.15","40.99","46.20","40.61","1.87M","7.08%"
